date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Light Heavyweight Title Fight,Jon Jones,NA,NA,Alexander Gustafsson,NA,NA,KO (Punches),3,2:02
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Featherweight Title Fight,Amanda Nunes,NA,NA,Cristiane Justino,NA,NA,KO (Punch),1,0:51
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Welterweight,Michael Chiesa,NA,NA,Carlos Condit,NA,NA,Submission (Kimura),2,0:56
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Light Heavyweight,Corey Anderson,NA,NA,Ilir Latifi,NA,NA,Decision (Unanimous),3,5:00
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Featherweight,Alexander Volkanovski,NA,NA,Chad Mendes,NA,NA,TKO (Punches),2,4:14
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Heavyweight,Walt Harris,NA,NA,Andrei Arlovski,NA,NA,No Contest (Overturned by CSAC),3,5:00
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Featherweight,Megan Anderson,NA,NA,Cat Zingano,NA,NA,TKO (Eye Injury),1,1:01
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Bantamweight,Petr Yan,NA,NA,Douglas Silva de Andrade,NA,NA,TKO (Corner Stoppage),2,5:00
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Lightweight,Ryan Hall,NA,NA,B.J. Penn,NA,NA,Submission (Heel Hook),1,2:46
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Bantamweight,Nathaniel Wood,NA,NA,Andre Ewell,NA,NA,Submission (Rear-Naked Choke),3,4:12
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Middleweight,Uriah Hall,NA,NA,Bevon Lewis,NA,NA,KO (Punch),3,1:32
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,Welterweight,Curtis Millender,NA,NA,Siyar Bahadurzada,NA,NA,Decision (Unanimous),3,5:00
"Dec 29, 2018",UFC 232 - Jones vs. Gustafsson 2,137lb Catchweight,Montel Jackson,NA,NA,Brian Kelleher,NA,NA,Submission (Brabo Choke),1,1:40
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Lightweight,Al Iaquinta,NA,NA,Kevin Lee,NA,NA,Decision (Unanimous),5,5:00
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Lightweight,Edson Barboza,NA,NA,Dan Hooker,NA,NA,KO (Punch to the Body),3,2:19
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Bantamweight,Rob Font,NA,NA,Sergio Pettis,NA,NA,Decision (Unanimous),3,5:00
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Lightweight,Charles Oliveira,NA,NA,Jim Miller,NA,NA,Submission (Rear-Naked Choke),1,1:15
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Welterweight,Zak Ottow,NA,NA,Dwight Grant,NA,NA,Decision (Split),3,5:00
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Lightweight,Drakkar Klose,NA,NA,Bobby Green,NA,NA,Decision (Unanimous),3,5:00
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Lightweight,Joaquim Silva,NA,NA,Jared Gordon,NA,NA,KO (Punches),3,2:39
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Middleweight,Jack Hermansson,NA,NA,Gerald Meerschaert,NA,NA,Submission (Guillotine Choke),1,4:25
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Middleweight,Zak Cummings,NA,NA,Trevor Smith,NA,NA,Decision (Unanimous),3,5:00
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Featherweight,Dan Ige,NA,NA,Jordan Griffin,NA,NA,Decision (Unanimous),3,5:00
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Light Heavyweight,Mike Rodriguez,NA,NA,Adam Milstead,NA,NA,TKO (Knee to the Body and Punches),1,2:59
"Dec 15, 2018",UFC on Fox 31 - Iaquinta vs. Lee 2,Heavyweight,Juan Adams,NA,NA,Chris de la Rocha,NA,NA,TKO (Punches),3,0:58
"Dec 8, 2018",UFC 231 - Holloway vs. Ortega,Featherweight Title Fight,Max Holloway,NA,NA,Brian Ortega,NA,NA,TKO (Doctor Stoppage),4,5:00
"Dec 8, 2018",UFC 231 - Holloway vs. Ortega,Flyweight Title Fight,Valentina Shevchenko,NA,NA,Joanna Jedrzejczyk,NA,NA,Decision (Unanimous),5,5:00
"Dec 8, 2018",UFC 231 - Holloway vs. Ortega,Welterweight,Gunnar Nelson,NA,NA,Alex Oliveira,NA,NA,Submission (Rear-Naked Choke),2,4:19
