date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Welterweight,Joaquin Buckley,171,-285,Colby Covington,171,230,TKO (Doctor Stoppage),3,4:42
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Featherweight,Cub Swanson,146,130,Billy Quarantillo,146,-155,KO (Punch),3,1:36
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Flyweight,Manel Kape,125,-345,Bruno Silva,126,275,TKO (Body Kick and Punches),3,1:57
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Light Heavyweight,Dustin Jacoby,205.5,240,Vitor Petrino,204.5,-298,KO (Punch),3,3:44
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Bantamweight,Daniel Marcos,136,-180,Adrian Yanez,136,150,Decision (Split),3,5:00
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Light Heavyweight,Navajo Stirling,206,-500,George Tokkos,206,380,Decision (Unanimous),3,5:00
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Lightweight,Michael Johnson,156,-192,Ottman Azaitar,156,160,KO (Punch),2,2:03
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Lightweight,Joel Alvarez,156,-395,Drakkar Klose,156,310,KO (Flying Knee and Punches),1,2:48
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Featherweight,Sean Woodson,145.5,-155,Fernando Padilla,145.5,130,TKO (Punches),1,4:58
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Featherweight,Felipe Lima,146,NA,Miles Johns,146,NA,Decision (Unanimous),3,5:00
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Flyweight,Miranda Maverick,126,-470,Jamey-Lyn Horth,126,360,Decision (Unanimous),3,5:00
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Bantamweight,Davey Grant,136,110,Ramon Taveras,136,-130,Decision (Unanimous),3,5:00
"Dec 14, 2024",UFC on ESPN 63 - Covington vs. Buckley,Strawweight,Piera Rodriguez,116,190,Josefine Lindgren Knutsson,116,-230,Decision (Unanimous),3,5:00
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Flyweight Title Fight,Alexandre Pantoja,124.5,-285,Kai Asakura,124.5,230,Technical Submission (Rear-Naked Choke),2,2:05
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Welterweight,Shavkat Rakhmonov,171,-380,Ian Garry,171,300,Decision (Unanimous),5,5:00
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Heavyweight,Ciryl Gane,245.5,-345,Alexander Volkov,254.5,275,Decision (Split),3,5:00
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Featherweight,Bryce Mitchell,146,-700,Kron Gracie,144.5,500,KO (Slam and Elbows),3,0:39
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Featherweight,Doo Ho Choi,146,120,Nate Landwehr,145.5,-142,TKO (Elbows),3,3:21
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Light Heavyweight,Dominick Reyes,205,-340,Anthony Smith,205.5,270,TKO (Elbows and Punches),2,4:46
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Welterweight,Vicente Luque,170.5,136,Themba Gorimbo,171,-162,Technical Submission (Anaconda Choke),1,0:52
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Featherweight,Movsar Evloev,145.5,-265,Aljamain Sterling,145.5,215,Decision (Unanimous),3,5:00
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,175lb Catchweight,Bryan Battle,175: Missed Weight,-230,Randy Brown,171,190,Decision (Split),3,5:00
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,195lb Catchweight,Eryk Anders,193,-105,Chris Weidman,194.5,-115,TKO (Punches),2,4:51
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Flyweight,Joshua Van,126,-155,Cody Durden,126,130,Decision (Unanimous),3,5:00
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Welterweight,Michael Chiesa,170.5,105,Max Griffin,170,-125,Submission (Rear-Naked Choke),3,1:56
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Lightweight,Chase Hooper,155.5,-1150,Clay Guida,155,650,Submission (Armbar),1,3:41
"Dec 7, 2024",UFC 310 - Pantoja vs. Asakura,Heavyweight,Kennedy Nzechukwu,236.5,-620,Lukasz Brzeski,234,400,TKO (Punches),1,4:51
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Bantamweight,Petr Yan,135.5,NA,Deiveson Figueiredo,135,NA,Decision (Unanimous),5,5:00
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Strawweight,Xiaonan Yan,116,NA,Tabatha Ricci,115.5,NA,Decision (Unanimous),3,5:00
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Welterweight,Muslim Salikhov,170.5,NA,Kenan Song,171,NA,KO (Spinning Wheel Kick),1,3:49
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Flyweight,Gabriella Fernandes,126,NA,Cong Wang,126,NA,Technical Submission (Rear-Naked Choke),2,3:49
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Light Heavyweight,Carlos Ulberg,205.5,NA,Volkan Oezdemir,206,NA,Decision (Unanimous),3,5:00
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Light Heavyweight,Mingyang Zhang,205,NA,Osman Diaz,205,NA,TKO (Elbow and Punches),1,2:25
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Bantamweight,Su Young You,135.5,NA,Jieleyisi Baergeng,135,NA,Decision (Unanimous),3,5:00
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Flyweight,Dong Hun Choi,125.5,NA,Kierandip Singh Sahota,126,NA,KO (Punches),1,2:36
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Strawweight,Ming Shi,115.5,NA,Xiaocan Feng,115,NA,KO (Head Kick),3,0:46
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Flyweight,Carlos Hernandez,125.5,NA,Nyamjargal Tumendemberel,125.5,NA,Decision (Split),3,5:00
"Nov 23, 2024",UFC Fight Night 248 - Yan vs. Figueiredo,Flyweight,Lone'er Kavanagh,126,NA,Jose Ochoa,125,NA,Decision (Unanimous),3,5:00
