date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Middleweight Title Fight,Dricus Du Plessis,185,-198,Sean Strickland,185,164,Decision (Unanimous),5,5:00
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Strawweight Title Fight,Weili Zhang,115,100,Tatiana Suarez,114.5,-120,Decision (Unanimous),5,5:00
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Heavyweight,Tallison Teixeira,263,-135,Justin Tafa,266,114,TKO (Knee to the Body and Elbow),1,0:35
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Light Heavyweight,Jimmy Crute,206,136,Rodolfo Bellato,205,-162,Draw (Majority),3,5:00
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Welterweight,Jake Matthews,170.5,-225,Francisco Prado,170.5,185,Decision (Unanimous),3,5:00
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Featherweight,Gabriel Santos,145.5,-238,Jack Jenkins,146,195,Submission (Rear-Naked Choke),3,2:06
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Lightweight,Tom Nolan,155.5,114,Viacheslav Borshchev,156,-135,Decision (Unanimous),3,5:00
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Flyweight,Cong Wang,125,-455,Bruna Brasil,125.5,350,Decision (Unanimous),3,5:00
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Bantamweight,Aleksandre Topuria,135.5,-410,Colby Thicknesse,135.5,320,Decision (Unanimous),3,5:00
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Lightweight,Zhu Rong,156,180,Kody Steele,156,-218,Decision (Unanimous),3,5:00
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Welterweight,Jonathan Micallef,170,210,Kevin Jousset,171,-258,Decision (Unanimous),3,5:00
"Feb 8, 2025",UFC 312 - Du Plessis vs. Strickland 2,Lightweight,Quillan Salkilld,156,-575,Anshul Jubli,155.5,425,TKO (Punch),1,0:19
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,Middleweight,Nassourdine Imavov,185,NA,Israel Adesanya,185,NA,TKO (Punches),2,0:30
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,Middleweight,Michael Page,185.5,NA,Sharabutdin Magomedov,185,NA,Decision (Unanimous),3,5:00
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,Heavyweight,Sergei Pavlovich,249,NA,Jairzinho Rozenstruik,252,NA,Decision (Unanimous),3,5:00
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,Bantamweight,Vinicius Oliveira,135,NA,Said Nurmagomedov,135.5,NA,Decision (Unanimous),3,5:00
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,Lightweight,Fares Ziam,156,NA,Mike Davis,155.5,NA,Decision (Unanimous),3,5:00
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,Featherweight,Muhammadjon Naimov,145.5,NA,Kaan Ofli,145,NA,Decision (Unanimous),3,5:00
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,Heavyweight,Shamil Gaziev,260,NA,Thomas Petersen,263,NA,TKO (Punch),1,3:12
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,Lightweight,Terrance McKinney,156,NA,Damir Hadzovic,155.5,NA,TKO (Punches),1,2:01
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,Flyweight,Jasmine Jasudavicius,125,NA,Mayra Bueno Silva,126,NA,Decision (Unanimous),3,5:00
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,149lb Catchweight,Bogdan Grad,145.5,NA,Lucas Alexander,148.5: Missed Weight,NA,TKO (Elbows and Punches),2,4:22
"Feb 1, 2025",UFC Fight Night 250 - Adesanya vs. Imavov,Heavyweight,Hamdy Abdelwahab,260,NA,Jamal Pogues,264,NA,Decision (Split),3,5:00
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Lightweight Title Fight,Islam Makhachev,154.5,-1000,Renato Carneiro,155,625,Submission (Brabo Choke),1,4:05
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Bantamweight Title Fight,Merab Dvalishvili,134,265,Umar Nurmagomedov,135,-325,Decision (Unanimous),5,5:00
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Light Heavyweight,Jiri Prochazka,204.5,-105,Jamahal Hill,204.5,-115,TKO (Punches),3,3:01
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Heavyweight,Jailton Almeida,235,-425,Serghei Spivac,233,330,TKO (Punches),1,4:53
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Middleweight,Reinier de Ridder,184.5,-112,Kevin Holland,183.5,-108,Submission (Rear-Naked Choke),1,3:31
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Bantamweight,Raoni Barcelos,135.5,750,Payton Talbott,135.5,-1200,Decision (Unanimous),3,5:00
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Middleweight,Azamat Bekoev,185.5,-198,Zachary Reese,185.5,168,KO (Punches),1,3:04
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Light Heavyweight,Bogdan Guskov,205.5,NA,Billy Elekana,200,NA,Submission (Guillotine Choke),2,3:33
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Lightweight,Grant Dawson,156,-258,Diego Ferreira,156,210,Decision (Unanimous),3,5:00
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Bantamweight,Ailin Perez,135,215,Karol Rosa,135.5,-265,Decision (Unanimous),3,5:00
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Bantamweight,Muin Gafurov,136,380,Rinya Nakamura,135.5,-500,Decision (Unanimous),3,5:00
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Bantamweight,Bernardo Sopai,135,-355,Ricky Turcios,136,280,Decision (Unanimous),3,5:00
"Jan 18, 2025",UFC 311 - Makhachev vs. Moicano,Flyweight,Tagir Ulanbekov,125.5,-325,Clayton Carpenter,125.5,260,Decision (Unanimous),3,5:00
"Jan 11, 2025",UFC Fight Night 249 - Dern vs. Ribas 2,Strawweight,Mackenzie Dern,116,NA,Amanda Ribas,116,NA,Submission (Armbar),3,4:56
"Jan 11, 2025",UFC Fight Night 249 - Dern vs. Ribas 2,Welterweight,Santiago Ponzinibbio,171,NA,Carlston Harris,170,NA,TKO (Punches),3,3:13
"Jan 11, 2025",UFC Fight Night 249 - Dern vs. Ribas 2,Middleweight,Cesar Almeida,185.5,NA,Abdul Razak Alhassan,185.5,NA,KO (Punch),1,4:16
"Jan 11, 2025",UFC Fight Night 249 - Dern vs. Ribas 2,Middleweight,Roman Kopylov,185.5,NA,Chris Curtis,185.5,NA,TKO (Head Kick),3,4:59
"Jan 11, 2025",UFC Fight Night 249 - Dern vs. Ribas 2,Featherweight,Christian Rodriguez,145,NA,Austin Bashi,145.5,NA,Decision (Unanimous),3,5:00
