date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,Welterweight,Stephen Thompson,170,NA,Geoff Neal,171,NA,Decision (Unanimous),5,5:00
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,Bantamweight,Jose Aldo,136,NA,Marlon Vera,135,NA,Decision (Unanimous),3,5:00
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,Welterweight,Michel Pereira,170,NA,Kalinn Williams,169.5,NA,Decision (Unanimous),3,5:00
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,Bantamweight,Rob Font,136,NA,Marlon Moraes,135.5,NA,TKO (Elbow and Punches),1,3:47
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,Heavyweight,Marcin Tybura,255,NA,Greg Hardy,266,NA,TKO (Punches),2,4:31
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,Welterweight,Anthony Pettis,170,NA,Alex Morono,170.5,NA,Decision (Unanimous),3,5:00
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,Bantamweight,Pannie Kianzad,135.5,NA,Sijara Eubanks,136,NA,Decision (Unanimous),3,5:00
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,195lb Catchweight,Deron Winn,194.5,NA,Antonio Arroyo,194,NA,Decision (Unanimous),3,5:00
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,Flyweight,Taila Santos,126,NA,Gillian Robertson,125,NA,Decision (Unanimous),3,5:00
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,Middleweight,Tafon Nchukwi,186,NA,Jamie Pickett,184.5,NA,Decision (Unanimous),3,5:00
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,Flyweight,Jimmy Flick,125,NA,Cody Durden,126,NA,Submission (Flying Triangle Choke),1,3:18
"Dec 19, 2020",UFC Fight Night 183 - Thompson vs. Neal,160lb Catchweight,Christos Giagos,159.5,NA,Carlton Minus,159,NA,Decision (Unanimous),3,5:00
"Dec 5, 2020",UFC on ESPN 19 - Hermansson vs. Vettori,Middleweight,Marvin Vettori,186,NA,Jack Hermansson,185.5,NA,Decision (Unanimous),5,5:00
"Dec 5, 2020",UFC on ESPN 19 - Hermansson vs. Vettori,208lb Catchweight,Jamahal Hill,NA,NA,Ovince St. Preux,205.5,NA,TKO (Punches),2,3:37
"Dec 5, 2020",UFC on ESPN 19 - Hermansson vs. Vettori,Lightweight,Gabriel Benitez,155.5,NA,Justin Jaynes,156,NA,TKO (Knee to the Body and Elbows),1,4:06
"Dec 5, 2020",UFC on ESPN 19 - Hermansson vs. Vettori,Light Heavyweight,Roman Dolidze,205,NA,John Allan,205,NA,Decision (Split),3,5:00
"Dec 5, 2020",UFC on ESPN 19 - Hermansson vs. Vettori,Lightweight,Jordan Leavitt,155.5,NA,Matt Wiman,155.5,NA,KO (Slam),1,0:22
"Dec 5, 2020",UFC on ESPN 19 - Hermansson vs. Vettori,Bantamweight,Louis Smolka,134.5,NA,Jose Quinonez,,,TKO (Punches),2,2:15
"Dec 5, 2020",UFC on ESPN 19 - Hermansson vs. Vettori,Featherweight,Ilia Topuria,145,NA,Damon Jackson,145,NA,KO (Punches),1,2:38
"Dec 5, 2020",UFC on ESPN 19 - Hermansson vs. Vettori,Heavyweight,Jake Collier,264.5,NA,Gian Villante,243,NA,Decision (Unanimous),3,5:00
"Dec 12, 2020",UFC 256 - Figueiredo vs. Moreno,Flyweight Title Fight,Deiveson Figueiredo,124.5,NA,Brandon Moreno,124.5,NA,Draw (Majority),5,5:00
"Dec 12, 2020",UFC 256 - Figueiredo vs. Moreno,Lightweight,Charles Oliveira,154.5,NA,Tony Ferguson,155,NA,Decision (Unanimous),3,5:00
"Dec 12, 2020",UFC 256 - Figueiredo vs. Moreno,Strawweight,Mackenzie Dern,115,NA,Virna Jandiroba,115,NA,Decision (Unanimous),3,5:00
"Dec 12, 2020",UFC 256 - Figueiredo vs. Moreno,Middleweight,Kevin Holland,185,NA,Ronaldo Souza,185.5,NA,KO (Punches),1,1:45
"Dec 12, 2020",UFC 256 - Figueiredo vs. Moreno,Heavyweight,Ciryl Gane,247.5,NA,Junior dos Santos,246.5,NA,TKO (Elbow),2,2:34
"Dec 12, 2020",UFC 256 - Figueiredo vs. Moreno,Featherweight,Cub Swanson,145,NA,Daniel Pineda,145.5,NA,KO (Punches),2,1:52
"Dec 12, 2020",UFC 256 - Figueiredo vs. Moreno,Lightweight,Rafael Fiziev,155.5,NA,Renato Carneiro,155,NA,KO (Punches),1,4:05
"Dec 12, 2020",UFC 256 - Figueiredo vs. Moreno,Featherweight,Gavin Tucker,146,NA,Billy Quarantillo,145.5,NA,Decision (Unanimous),3,5:00
"Dec 12, 2020",UFC 256 - Figueiredo vs. Moreno,Strawweight,Tecia Pennington,,,Sam Hughes,115.5,NA,TKO (Corner Stoppage),1,5:00
