date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 8, 2007",UFC - The Ultimate Fighter 6 Finale,,Roger Huerta,,,Clay Guida,,,Submission (Rear-Naked Choke),3,0:51
"Dec 8, 2007",UFC - The Ultimate Fighter 6 Finale,,Mac Danzig,,,Tom Speer,,,Submission (Rear-Naked Choke),1,2:01
"Dec 8, 2007",UFC - The Ultimate Fighter 6 Finale,,War Machine,,,Jared Rollins,,,TKO (Punches),3,2:01
"Dec 8, 2007",UFC - The Ultimate Fighter 6 Finale,,George Sotiropoulos,,,Billy Miles,,,Submission (Rear-Naked Choke),1,1:36
"Dec 8, 2007",UFC - The Ultimate Fighter 6 Finale,,Ben Saunders,,,Daniel Barrera,,,Decision (Unanimous),3,5:00
"Dec 8, 2007",UFC - The Ultimate Fighter 6 Finale,,Troy Mandaloniz,,,Richie Hightower,,,TKO (Punches),1,4:20
"Dec 8, 2007",UFC - The Ultimate Fighter 6 Finale,,Matt Arroyo,,,John Kolosci,,,Submission (Armbar),1,4:42
"Dec 8, 2007",UFC - The Ultimate Fighter 6 Finale,,Roman Mitichyan,,,Dorian Price,,,Submission (Achilles Lock),1,0:23
"Dec 8, 2007",UFC - The Ultimate Fighter 6 Finale,,Jonathan Goulet,,,Paul Georgieff,,,Technical Submission (Rear-Naked Choke),1,4:42
"Sep 19, 2007",UFC Fight Night 11 - Thomas vs. Florian,,Kenny Florian,,,Din Thomas,,,Submission (Rear-Naked Choke),1,4:31
"Sep 19, 2007",UFC Fight Night 11 - Thomas vs. Florian,,Chris Leben,,,Terry Martin,,,KO (Punch),3,3:56
"Sep 19, 2007",UFC Fight Night 11 - Thomas vs. Florian,,Nate Diaz,,,Junior Assuncao,,,Submission (Guillotine Choke),1,4:10
"Sep 19, 2007",UFC Fight Night 11 - Thomas vs. Florian,,Nate Quarry,,,Pete Sell,,,KO (Punch),3,0:44
"Sep 19, 2007",UFC Fight Night 11 - Thomas vs. Florian,,Luke Cummo,,,Edilberto de Oliveira,,,TKO (Punches),1,1:45
"Sep 19, 2007",UFC Fight Night 11 - Thomas vs. Florian,,Cole Miller,,,Leonard Garcia,,,Decision (Unanimous),3,5:00
"Sep 19, 2007",UFC Fight Night 11 - Thomas vs. Florian,,Gray Maynard,,,Joe Veres,,,KO (Punch),1,0:09
"Sep 19, 2007",UFC Fight Night 11 - Thomas vs. Florian,,Thiago Alves,,,Kuniyoshi Hironaka,,,TKO (Punch and Knee),2,4:04
"Sep 19, 2007",UFC Fight Night 11 - Thomas vs. Florian,,Dustin Hazelett,,,Jonathan Goulet,,,Submission (Armbar),1,1:14
"Aug 25, 2007",UFC 74 - Respect,Heavyweight Title Fight,Randy Couture,,,Gabriel Gonzaga,,,TKO (Punches),3,1:37
"Aug 25, 2007",UFC 74 - Respect,,Georges St. Pierre,,,Josh Koscheck,,,Decision (Unanimous),3,5:00
"Aug 25, 2007",UFC 74 - Respect,,Roger Huerta,,,Alberto Crane,,,TKO (Punches),3,1:50
"Aug 25, 2007",UFC 74 - Respect,,Joe Stevenson,,,Kurt Pellegrino,,,Decision (Unanimous),3,5:00
"Aug 25, 2007",UFC 74 - Respect,,Patrick Cote,,,Kendall Grove,,,TKO (Punches),1,4:45
"Aug 25, 2007",UFC 74 - Respect,,Renato Sobral,,,David Heath,,,Submission (Anaconda Choke),2,3:30
"Aug 25, 2007",UFC 74 - Respect,,Frank Mir,,,Antoni Hardonk,,,Submission (Kimura),1,1:17
"Aug 25, 2007",UFC 74 - Respect,,Thales Leites,,,Ryan Jensen,,,Submission (Armbar),1,3:47
"Aug 25, 2007",UFC 74 - Respect,,Clay Guida,,,Marcus Aurelio,,,Decision (Split),3,5:00
"Jul 7, 2007",UFC 73 - Stacked,Middleweight Title Fight,Anderson Silva,,,Nate Marquardt,,,TKO (Punches),1,4:50
"Jul 7, 2007",UFC 73 - Stacked,,Rashad Evans,,,Tito Ortiz,,,Draw (Unanimous),3,5:00
"Jul 7, 2007",UFC 73 - Stacked,Lightweight Title Fight,Sean Sherk,,,Hermes Franca,,,Decision (Unanimous),5,5:00
"Jul 7, 2007",UFC 73 - Stacked,,Antonio Rodrigo Nogueira,,,Heath Herring,,,Decision (Unanimous),3,5:00
"Jul 7, 2007",UFC 73 - Stacked,,Kenny Florian,,,Alvin Robinson,,,TKO (Submission to Punches),1,4:30
"Jul 7, 2007",UFC 73 - Stacked,,Stephan Bonnar,,,Mike Nickels,,,Submission (Rear-Naked Choke),1,2:14
"Jul 7, 2007",UFC 73 - Stacked,,Jorge Gurgel,,,Diego Saraiva,,,Decision (Unanimous),3,5:00
"Jul 7, 2007",UFC 73 - Stacked,,Chris Lytle,,,Jason Gilliam,,,Submission (Triangle Kimura),1,2:15
"Jul 7, 2007",UFC 73 - Stacked,,Frankie Edgar,,,Mark Bocek,,,TKO (Punches),1,4:55
"Jun 12, 2007",UFC Fight Night 10 - Stout vs. Fisher 2,,Spencer Fisher,,,Sam Stout,,,Decision (Unanimous),3,5:00
"Jun 12, 2007",UFC Fight Night 10 - Stout vs. Fisher 2,,Jon Fitch,,,Roan Carneiro,,,Submission (Rear-Naked Choke),2,1:07
"Jun 12, 2007",UFC Fight Night 10 - Stout vs. Fisher 2,,Drew McFedries,,,Jordan Radev,,,KO (Punch),1,0:33
"Jun 12, 2007",UFC Fight Night 10 - Stout vs. Fisher 2,,Thiago Tavares,,,Jason Black,,,Submission (Triangle Choke),2,2:49
"Jun 12, 2007",UFC Fight Night 10 - Stout vs. Fisher 2,,Forrest Petz,,,Luigi Fioravanti,,,Decision (Unanimous),3,5:00
"Jun 12, 2007",UFC Fight Night 10 - Stout vs. Fisher 2,,Tamdan McCrory,,,Pete Spratt,,,Submission (Triangle Choke),2,2:04
"Jun 12, 2007",UFC Fight Night 10 - Stout vs. Fisher 2,,Gleison Tibau,,,Jeff Cox,,,Submission (Arm-Triangle Choke),1,1:52
"Jun 12, 2007",UFC Fight Night 10 - Stout vs. Fisher 2,,Anthony Johnson,,,Chad Reiner,,,KO (Punches),1,0:13
"Jun 12, 2007",UFC Fight Night 10 - Stout vs. Fisher 2,,Nate Mohr,,,Luke Caudillo,,,Decision (Unanimous),3,5:00
"May 26, 2007",UFC 71 - Liddell vs. Jackson,Light Heavyweight Title Fight,Quinton Jackson,,,Chuck Liddell,,,KO (Punches),1,1:53
"May 26, 2007",UFC 71 - Liddell vs. Jackson,,Karo Parisyan,,,Joshua Burkman,,,Decision (Unanimous),3,5:00
"May 26, 2007",UFC 71 - Liddell vs. Jackson,,Terry Martin,,,Ivan Salaverry,,,TKO (Suplex and Punches),1,2:04
"May 26, 2007",UFC 71 - Liddell vs. Jackson,,Houston Alexander,,,Keith Jardine,,,KO (Punches),1,0:48
"May 26, 2007",UFC 71 - Liddell vs. Jackson,,Kalib Starnes,,,Chris Leben,,,Decision (Unanimous),3,5:00
"May 26, 2007",UFC 71 - Liddell vs. Jackson,,Thiago Silva,,,James Irvin,,,TKO (Knee Injury),1,1:06
"May 26, 2007",UFC 71 - Liddell vs. Jackson,,Alan Belcher,,,Sean Salmon,,,Submission (Guillotine Choke),1,0:53
"May 26, 2007",UFC 71 - Liddell vs. Jackson,,Din Thomas,,,Jeremy Stephens,,,Submission (Armbar),2,2:44
"May 26, 2007",UFC 71 - Liddell vs. Jackson,,Wilson Gouveia,,,Carmelo Marrero,,,Submission (Guillotine Choke),1,3:06
"Apr 7, 2007",UFC 69 - Shootout,Welterweight Title Fight,Matt Serra,,,Georges St. Pierre,,,TKO (Punches),1,3:25
"Apr 7, 2007",UFC 69 - Shootout,,Josh Koscheck,,,Diego Sanchez,,,Decision (Unanimous),3,5:00
"Apr 7, 2007",UFC 69 - Shootout,,Roger Huerta,,,Leonard Garcia,,,Decision (Unanimous),3,5:00
"Apr 7, 2007",UFC 69 - Shootout,,Yushin Okami,,,Mike Swick,,,Decision (Unanimous),3,5:00
"Apr 7, 2007",UFC 69 - Shootout,,Kendall Grove,,,Alan Belcher,,,Submission (Brabo Choke),2,4:42
"Apr 7, 2007",UFC 69 - Shootout,,Heath Herring,,,Brad Imes,,,Decision (Unanimous),3,5:00
"Apr 7, 2007",UFC 69 - Shootout,,Thales Leites,,,Pete Sell,,,Decision (Unanimous),3,5:00
"Apr 7, 2007",UFC 69 - Shootout,,Marcus Davis,,,Pete Spratt,,,Submission (Achilles Lock),2,2:57
"Apr 7, 2007",UFC 69 - Shootout,,Luke Cummo,,,Josh Haynes,,,KO (Punch),2,2:45
"Sep 22, 2007",UFC 76 - Knockout,,Keith Jardine,,,Chuck Liddell,,,Decision (Split),3,5:00
"Sep 22, 2007",UFC 76 - Knockout,,Forrest Griffin,,,Mauricio Rua,,,Submission (Rear-Naked Choke),3,4:45
"Sep 22, 2007",UFC 76 - Knockout,,Jon Fitch,,,Diego Sanchez,,,Decision (Split),3,5:00
"Sep 22, 2007",UFC 76 - Knockout,,Lyoto Machida,,,Kazuhiro Nakamura,,,Decision (Unanimous),3,5:00
"Sep 22, 2007",UFC 76 - Knockout,,Tyson Griffin,,,Thiago Tavares,,,Decision (Unanimous),3,5:00
"Sep 22, 2007",UFC 76 - Knockout,,Rich Clementi,,,Anthony Johnson,,,Submission (Rear-Naked Choke),2,3:05
"Sep 22, 2007",UFC 76 - Knockout,,Jeremy Stephens,,,Diego Saraiva,,,Decision (Unanimous),3,5:00
