date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Lightweight Title Fight,Rafael dos Anjos,NA,NA,Donald Cerrone,NA,NA,TKO (Punches),1,1:06
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Heavyweight,Alistair Overeem,NA,NA,Junior dos Santos,NA,NA,TKO (Punches),2,4:43
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Lightweight,Nate Diaz,NA,NA,Michael Johnson,NA,NA,Decision (Unanimous),3,5:00
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Strawweight,Karolina Kowalkiewicz,NA,NA,Randa Markos,NA,NA,Decision (Unanimous),3,5:00
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,151lb Catchweight,Charles Oliveira,NA,NA,Myles Jury,NA,NA,Submission (Guillotine Choke),1,3:05
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Middleweight,Nate Marquardt,NA,NA,C.B. Dollaway,NA,NA,KO (Punch),2,0:28
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Bantamweight,Valentina Shevchenko,NA,NA,Sarah Kaufman,NA,NA,Decision (Split),3,5:00
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Middleweight,Tamdan McCrory,NA,NA,Josh Samman,NA,NA,Submission (Triangle Choke),3,4:10
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Lightweight,Nik Lentz,NA,NA,Danny Castillo,NA,NA,Decision (Split),3,5:00
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Featherweight,Cole Miller,NA,NA,Jim Alers,NA,NA,No Contest (Accidental Eye Poke),2,1:34
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Welterweight,Kamaru Usman,NA,NA,Leon Edwards,NA,NA,Decision (Unanimous),3,5:00
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Welterweight,Vicente Luque,NA,NA,Hayder Hassan,NA,NA,Technical Submission (Anaconda Choke),1,2:13
"Dec 19, 2015",UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Heavyweight,Francis Ngannou,NA,NA,Luis Henrique,NA,NA,KO (Punch),2,2:53
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Featherweight Title Fight,Conor McGregor,NA,NA,Jose Aldo,NA,NA,KO (Punch),1,0:13
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Middleweight Title Fight,Luke Rockhold,NA,NA,Chris Weidman,NA,NA,TKO (Punches),4,3:12
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Middleweight,Yoel Romero,NA,NA,Ronaldo Souza,,,Decision (Split),3,5:00
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Welterweight,Demian Maia,NA,NA,Gunnar Nelson,NA,NA,Decision (Unanimous),3,5:00
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Featherweight,Max Holloway,NA,NA,Jeremy Stephens,NA,NA,Decision (Unanimous),3,5:00
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Bantamweight,Urijah Faber,NA,NA,Frankie Saenz,NA,NA,Decision (Unanimous),3,5:00
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Strawweight,Tecia Pennington,,,Jocelyn Jones-Lybarger,NA,NA,Decision (Unanimous),3,5:00
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Welterweight,Warlley Alves,NA,NA,Colby Covington,NA,NA,Submission (Guillotine Choke),1,1:26
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Lightweight,Leonardo Santos,NA,NA,Kevin Lee,NA,NA,TKO (Punches),1,3:26
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Lightweight,Magomed Mustafaev,NA,NA,Joe Proctor,NA,NA,TKO (Knees and Punches),1,1:54
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Lightweight,Yancy Medeiros,NA,NA,John Makdessi,NA,NA,Decision (Split),3,5:00
"Dec 12, 2015",UFC 194 - Aldo vs. McGregor,Welterweight,Court McGee,NA,NA,Marcio Alexandre Jr.,NA,NA,Decision (Unanimous),3,5:00
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Strawweight,Rose Namajunas,NA,NA,Paige VanZant,NA,NA,Submission (Rear-Naked Choke),5,2:25
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Lightweight,Michael Chiesa,NA,NA,Jim Miller,NA,NA,Submission (Rear-Naked Choke),2,2:57
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Lightweight,Sage Northcutt,NA,NA,Cody Pfister,NA,NA,Submission (Guillotine Choke),2,0:41
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Middleweight,Thiago Santos,NA,NA,Elias Theodorou,NA,NA,Decision (Unanimous),3,5:00
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Welterweight,Tim Means,NA,NA,John Howard,NA,NA,KO (Punches),2,0:21
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Welterweight,Sergio Moraes,NA,NA,Omari Akhmedov,NA,NA,TKO (Punches),3,2:18
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Middleweight,Kevin Casey,NA,NA,Antonio Carlos Jr.,NA,NA,No Contest (Eye Poke),1,0:11
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Bantamweight,Aljamain Sterling,NA,NA,Johnny Eduardo,NA,NA,Submission (Guillotine Choke),2,4:18
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Welterweight,Santiago Ponzinibbio,NA,NA,Andreas Stahl,NA,NA,TKO (Punches),1,4:25
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Welterweight,Danny Roberts,NA,NA,Nathan Coy,NA,NA,Technical Submission (Triangle Choke),1,2:46
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Featherweight,Zubaira Tukhugov,NA,NA,Phillipe Nover,NA,NA,Decision (Split),3,5:00
"Dec 10, 2015",UFC Fight Night 80 - Namajunas vs. VanZant,Strawweight,Kailin Curran,NA,NA,Emily Kagan,NA,NA,Submission (Rear-Naked Choke),2,4:13
"Nov 21, 2015",UFC Fight Night 78 - Magny vs. Gastelum,Welterweight,Neil Magny,NA,NA,Kelvin Gastelum,NA,NA,Decision (Split),5,5:00
"Nov 21, 2015",UFC Fight Night 78 - Magny vs. Gastelum,Featherweight,Ricardo Lamas,NA,NA,Diego Sanchez,NA,NA,Decision (Unanimous),3,5:00
