date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Apr 18, 2009",UFC 97 - Redemption,Middleweight Title Fight,Anderson Silva,,,Thales Leites,,,Decision (Unanimous),5,5:00
"Apr 18, 2009",UFC 97 - Redemption,,Sam Stout,,,Matt Wiman,,,Decision (Unanimous),3,5:00
"Apr 18, 2009",UFC 97 - Redemption,,Mauricio Rua,,,Chuck Liddell,,,TKO (Punches),1,4:28
"Apr 18, 2009",UFC 97 - Redemption,,Krzysztof Soszynski,,,Brian Stann,,,Submission (Kimura),1,3:53
"Apr 18, 2009",UFC 97 - Redemption,,Cheick Kongo,,,Antoni Hardonk,,,TKO (Punches),2,2:29
"Apr 18, 2009",UFC 97 - Redemption,,Luiz Cane,,,Steve Cantwell,,,Decision (Unanimous),3,5:00
"Apr 18, 2009",UFC 97 - Redemption,,Denis Kang,,,Xavier Foupa-Pokam,,,Decision (Unanimous),3,5:00
"Apr 18, 2009",UFC 97 - Redemption,,Nate Quarry,,,Jason MacDonald,,,TKO (Elbows),1,2:27
"Apr 18, 2009",UFC 97 - Redemption,,Ed Herman,,,David Loiseau,,,Decision (Unanimous),3,5:00
"Apr 18, 2009",UFC 97 - Redemption,,Mark Bocek,,,David Bielkheden,,,Submission (Rear-Naked Choke),1,4:57
"Apr 18, 2009",UFC 97 - Redemption,,T.J. Grant,,,Ryo Chonan,,,Decision (Split),3,5:00
"Apr 18, 2009",UFC 97 - Redemption,,Eliot Marshall,,,Vinny Magalhaes,,,Decision (Unanimous),3,5:00
"Feb 21, 2009",UFC 95 - Sanchez vs. Stevenson,,Diego Sanchez,,,Joe Stevenson,,,Decision (Unanimous),3,5:00
"Feb 21, 2009",UFC 95 - Sanchez vs. Stevenson,,Dan Hardy,,,Rory Markham,,,KO (Punch),1,1:09
"Feb 21, 2009",UFC 95 - Sanchez vs. Stevenson,,Nate Marquardt,,,Wilson Gouveia,,,TKO (Knee and Punches),3,3:10
"Feb 21, 2009",UFC 95 - Sanchez vs. Stevenson,,Demian Maia,,,Chael Sonnen,,,Submission (Triangle Choke),1,2:37
"Feb 21, 2009",UFC 95 - Sanchez vs. Stevenson,,Paulo Thiago,,,Josh Koscheck,,,TKO (Punches),1,3:29
"Feb 21, 2009",UFC 95 - Sanchez vs. Stevenson,,Terry Etim,,,Brian Cobb,,,TKO (Head Kick and Punches),2,0:10
"Feb 21, 2009",UFC 95 - Sanchez vs. Stevenson,,Junior dos Santos,,,Stefan Struve,,,TKO (Punches),1,0:54
"Feb 21, 2009",UFC 95 - Sanchez vs. Stevenson,,Evan Dunham,,,Per Eklund,,,TKO (Punches),1,2:13
"Feb 21, 2009",UFC 95 - Sanchez vs. Stevenson,,Mike Ciesnolevicz,,,Neil Grove,,,Submission (Heel Hook),1,1:03
"Feb 21, 2009",UFC 95 - Sanchez vs. Stevenson,,Paul Kelly,,,Troy Mandaloniz,,,Decision (Unanimous),3,5:00
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,Heavyweight,Antonio Rodrigo Nogueira,,,Randy Couture,,,Decision (Unanimous),3,5:00
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,,Thiago Silva,,,Keith Jardine,,,TKO (Punches),1,1:35
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,,Jake Rosholt,,,Chris Leben,,,Technical Submission (Arm-Triangle Choke),3,1:30
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,,Nate Marquardt,,,Demian Maia,,,KO (Punch),1,0:21
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,,Brandon Vera,,,Krzysztof Soszynski,,,Decision (Unanimous),3,5:00
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,,Aaron Simpson,,,Ed Herman,,,TKO (Knee Injury),2,0:17
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,,Gabriel Gonzaga,,,Chris Tuchscherer,,,TKO (Punches),1,2:27
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,,Mike Russow,,,Justin McCully,,,Decision (Unanimous),3,5:00
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,,Todd Duffee,,,Tim Hague,,,KO (Punches),1,0:07
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,,Mark Munoz,,,Nick Catone,,,Decision (Split),3,5:00
"Aug 29, 2009",UFC 102 - Couture vs. Nogueira,,Evan Dunham,,,Marcus Aurelio,,,Decision (Split),3,5:00
"Feb 7, 2009",UFC Fight Night 17 - Lauzon vs. Stephens,,Joe Lauzon,,,Jeremy Stephens,,,Submission (Armbar),2,4:43
"Feb 7, 2009",UFC Fight Night 17 - Lauzon vs. Stephens,,Cain Velasquez,,,Denis Stojnic,,,TKO (Punches),2,2:34
"Feb 7, 2009",UFC Fight Night 17 - Lauzon vs. Stephens,,Josh Neer,,,Mac Danzig,,,Submission (Triangle Choke),2,3:36
"Feb 7, 2009",UFC Fight Night 17 - Lauzon vs. Stephens,,Anthony Johnson,,,Luigi Fioravanti,,,TKO (Punches),1,4:39
"Feb 7, 2009",UFC Fight Night 17 - Lauzon vs. Stephens,,Kurt Pellegrino,,,Robert Emerson,,,Submission (Rear-Naked Choke),2,3:14
"Feb 7, 2009",UFC Fight Night 17 - Lauzon vs. Stephens,,Dan Miller,,,Jake Rosholt,,,Submission (Guillotine Choke),1,1:03
"Feb 7, 2009",UFC Fight Night 17 - Lauzon vs. Stephens,,Matt Veach,,,Matt Grice,,,TKO (Punches),1,4:34
"Feb 7, 2009",UFC Fight Night 17 - Lauzon vs. Stephens,,Gleison Tibau,,,Rich Clementi,,,Submission (Guillotine Choke),1,4:35
"Feb 7, 2009",UFC Fight Night 17 - Lauzon vs. Stephens,,Nick Catone,,,Derek Downey,,,Submission (Keylock),2,1:15
"Feb 7, 2009",UFC Fight Night 17 - Lauzon vs. Stephens,,Matt Riddle,,,Steve Bruno,,,Decision (Unanimous),3,5:00
"Jun 13, 2009",UFC 99 - The Comeback,,Rich Franklin,,,Wanderlei Silva,,,Decision (Unanimous),3,5:00
