date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,Welterweight Title Fight,Georges St. Pierre,,,Josh Koscheck,,,Decision (Unanimous),5,5:00
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,,Stefan Struve,,,Sean McCorkle,,,TKO (Punches),1,3:55
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,,Jim Miller,,,Charles Oliveira,,,Submission (Kneebar),1,1:59
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,,Mac Danzig,,,Joe Stevenson,,,KO (Punch),1,1:54
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,,Thiago Alves,,,John Howard,,,Decision (Unanimous),3,5:00
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,,Dan Miller,,,Joe Doerksen,,,Decision (Split),3,5:00
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,,Mark Bocek,,,Dustin Hazelett,,,Submission (Triangle Choke),1,2:33
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,,Rafael Natal,,,Jesse Bongfeldt,,,Draw (Majority),3,5:00
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,,Sean Pierson,,,Matt Riddle,,,Decision (Unanimous),3,5:00
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,,Ricardo Almeida,,,T.J. Grant,,,Decision (Unanimous),3,5:00
"Dec 11, 2010",UFC 124 - St. Pierre vs. Koscheck 2,,John Makdessi,,,Pat Audinwood,,,Decision (Unanimous),3,5:00
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,Jonathan Brookins,,,Michael Johnson,,,Decision (Unanimous),3,5:00
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,Stephan Bonnar,,,Igor Pokrajac,,,Decision (Unanimous),3,5:00
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,Demian Maia,,,Kendall Grove,,,Decision (Unanimous),3,5:00
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,Rick Story,,,Johny Hendricks,,,Decision (Unanimous),3,5:00
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,Leonard Garcia,,,Nam Phan,,,Decision (Split),3,5:00
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,Cody McKenzie,,,Aaron Wilkinson,,,Submission (Guillotine Choke),1,2:03
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,Ian Loveland,,,Tyler Toner,,,Decision (Unanimous),3,5:00
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,Kyle Watson,,,Sako Chivitchyan,,,Decision (Unanimous),3,5:00
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,Nick Pace,,,Will Campuzano,,,Submission (Pillory Choke),3,4:33
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,Pablo Garza,,,Fredson Paixao,,,KO (Flying Knee),1,0:51
"Dec 4, 2010",UFC - The Ultimate Fighter 12 Finale,,David Branch,,,Rich Attonito,,,Decision (Unanimous),3,5:00
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,Heavyweight Title Fight,Cain Velasquez,,,Brock Lesnar,,,TKO (Punches),1,4:12
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,,Jake Shields,,,Martin Kampmann,,,Decision (Split),3,5:00
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,,Diego Sanchez,,,Paulo Thiago,,,Decision (Unanimous),3,5:00
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,,Matt Hamill,,,Tito Ortiz,,,Decision (Unanimous),3,5:00
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,,Brendan Schaub,,,Gabriel Gonzaga,,,Decision (Unanimous),3,5:00
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,,Court McGee,,,Ryan Jensen,,,Submission (Arm-Triangle Choke),3,1:21
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,,Tom Lawlor,,,Patrick Cote,,,Decision (Unanimous),3,5:00
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,,Daniel Roberts,,,Michael Guymon,,,Submission (Anaconda Choke),1,1:13
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,,Sam Stout,,,Paul Taylor,,,Decision (Split),3,5:00
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,,Chris Camozzi,,,Dongi Yang,,,Decision (Split),3,5:00
"Oct 23, 2010",UFC 121 - Lesnar vs. Velasquez,,Jon Madsen,,,Gilbert Yvel,,,TKO (Punches),1,1:48
"Nov 20, 2010",UFC 123 - Rampage vs. Machida,Light Heavyweight,Quinton Jackson,,,Lyoto Machida,,,Decision (Split),3,5:00
"Nov 20, 2010",UFC 123 - Rampage vs. Machida,,B.J. Penn,,,Matt Hughes,,,KO (Punches),1,0:21
