date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Middleweight Title Fight,Dricus Du Plessis,185,102,Israel Adesanya,184,-122,Submission (Face Crank),4,3:38
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Flyweight,Kai Kara-France,125,140,Steve Erceg,125.5,-166,TKO (Punches),1,4:04
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Lightweight,Dan Hooker,155.5,260,Mateusz Gamrot,156,-325,Decision (Split),3,5:00
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Heavyweight,Jairzinho Rozenstruik,259,-225,Tai Tuivasa,265,185,Decision (Split),3,5:00
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Welterweight,Carlos Prates,170,-340,Jingliang Li,171,270,KO (Punches),2,4:02
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Heavyweight,Valter Walker,252,110,Junior Tafa,244,-130,Submission (Heel Hook),1,4:56
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Featherweight,Ricardo Ramos,145.5,124,Joshua Culibao,146,-148,Decision (Split),3,5:00
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Flyweight,Casey O'Neill,125.5,136,Luana Santos,126,-162,Decision (Unanimous),3,5:00
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Featherweight,Jack Jenkins,145.5,-850,Herbert Burns,146,575,TKO (Retirement),3,0:48
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Lightweight,Tom Nolan,155.5,-1350,Alex Reyes,156,800,Decision (Unanimous),3,5:00
"Aug 17, 2024",UFC 305 - Du Plessis vs. Adesanya,Welterweight,Kenan Song,171,-192,Ricky Glenn,171,160,Decision (Unanimous),3,5:00
