date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Nov 19, 1999",UFC 23 - Ultimate Japan 2,Title Fight,Kevin Randleman,,,Pete Williams,,,Decision (Unanimous),5,5:00
"Nov 19, 1999",UFC 23 - Ultimate Japan 2,,Pedro Rizzo,,,Tsuyoshi Kosaka,,,TKO (Punches),3,1:12
"Nov 19, 1999",UFC 23 - Ultimate Japan 2,Title Fight,Kenichi Yamamoto,,,Katsuhisa Fujii,,,Submission (Kneebar),1,4:15
"Nov 19, 1999",UFC 23 - Ultimate Japan 2,,Joe Slick,,,Jason DeLucia,,,TKO (Knee Injury),1,1:12
"Nov 19, 1999",UFC 23 - Ultimate Japan 2,,Eugene Jackson,,,Keiichiro Yamamiya,,,KO (Punch),3,3:12
"Nov 19, 1999",UFC 23 - Ultimate Japan 2,,Kenichi Yamamoto,,,Daiju Takase,,,Decision (Unanimous),3,5:00
"Nov 19, 1999",UFC 23 - Ultimate Japan 2,,Katsuhisa Fujii,,,Masutatsu Yano,,,TKO (Punches),2,3:12
"Sep 24, 1999",UFC 22 - There Can Be Only One Champion,Title Fight,Frank Shamrock,,,Tito Ortiz,,,TKO (Submission to Punches),4,4:42
"Sep 24, 1999",UFC 22 - There Can Be Only One Champion,,Tim Lajcik,,,Ron Waterman,,,Draw (Unanimous),3,5:00
"Sep 24, 1999",UFC 22 - There Can Be Only One Champion,,Jeremy Horn,,,Jason Godsey,,,Submission (Armbar),1,2:08
"Sep 24, 1999",UFC 22 - There Can Be Only One Champion,,Brad Kohler,,,Steve Judson,,,KO (Punch),1,0:30
"Sep 24, 1999",UFC 22 - There Can Be Only One Champion,,Chuck Liddell,,,Paul Jones,,,TKO (Punches),1,3:53
"Sep 24, 1999",UFC 22 - There Can Be Only One Champion,,Matt Hughes,,,Valeri Ignatov,,,Decision (Unanimous),3,5:00
"Sep 24, 1999",UFC 22 - There Can Be Only One Champion,,John Lewis,,,Lowell Anderson,,,TKO (Corner Stoppage),3,0:13
"Sep 24, 1999",UFC 22 - There Can Be Only One Champion,,Jens Pulver,,,Alfonso Alcarez,,,Draw (Majority),2,5:00
"Jul 16, 1999",UFC 21 - Return of the Champions,,Maurice Smith,,,Marco Ruas,,,TKO (Corner Stoppage),1,5:00
"Jul 16, 1999",UFC 21 - Return of the Champions,Title Fight,Pat Miletich,,,Andre Pederneiras,,,TKO (Doctor Stoppage),2,2:20
"Jul 16, 1999",UFC 21 - Return of the Champions,,Jeremy Horn,,,Daiju Takase,,,TKO (Punches),1,4:41
"Jul 16, 1999",UFC 21 - Return of the Champions,,Paul Jones,,,Flavio Luiz Moura,,,Submission (Rear-Naked Choke),1,4:20
"Jul 16, 1999",UFC 21 - Return of the Champions,,Tsuyoshi Kosaka,,,Tim Lajcik,,,TKO (Corner Stoppage),2,5:00
"Jul 16, 1999",UFC 21 - Return of the Champions,,Eugene Jackson,,,Royce Alger,,,KO (Punch),2,1:19
"Jul 16, 1999",UFC 21 - Return of the Champions,,Andre Roberts,,,Ron Waterman,,,KO (Punch),1,2:51
"Jul 16, 1999",UFC 21 - Return of the Champions,,Travis Fulton,,,David Dodd,,,Decision (Unanimous),2,5:00
"May 7, 1999",UFC 20 - Battle for the Gold,Title Fight,Bas Rutten,,,Kevin Randleman,,,Decision (Split),1,21:00
"May 7, 1999",UFC 20 - Battle for the Gold,,Pedro Rizzo,,,Tra Telligman,,,KO (Punch),1,4:30
"May 7, 1999",UFC 20 - Battle for the Gold,,Pete Williams,,,Travis Fulton,,,Submission (Armbar),1,6:28
"May 7, 1999",UFC 20 - Battle for the Gold,,Wanderlei Silva,,,Tony Petarra,,,KO (Knee),1,2:53
"May 7, 1999",UFC 20 - Battle for the Gold,,Marcelo Mello,,,Dave Roberts,,,TKO (Punches),1,1:23
"May 7, 1999",UFC 20 - Battle for the Gold,,LaVerne Clark,,,Fabiano Iha,,,TKO (Doctor Stoppage),1,1:31
