date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 30, 2017",UFC 219 - Cyborg vs. Holm,Featherweight Title Fight,Cristiane Justino,NA,NA,Holly Holm,NA,NA,Decision (Unanimous),5,5:00
"Dec 30, 2017",UFC 219 - Cyborg vs. Holm,Lightweight,Khabib Nurmagomedov,NA,NA,Edson Barboza,NA,NA,Decision (Unanimous),3,5:00
"Dec 30, 2017",UFC 219 - Cyborg vs. Holm,Lightweight,Dan Hooker,NA,NA,Marc Diakiese,NA,NA,Submission (Guillotine Choke),3,0:42
"Dec 30, 2017",UFC 219 - Cyborg vs. Holm,Strawweight,Carla Esparza,NA,NA,Cynthia Calvillo,NA,NA,Decision (Unanimous),3,5:00
"Dec 30, 2017",UFC 219 - Cyborg vs. Holm,Welterweight,Neil Magny,NA,NA,Carlos Condit,NA,NA,Decision (Unanimous),3,5:00
"Dec 30, 2017",UFC 219 - Cyborg vs. Holm,Light Heavyweight,Michal Oleksiejczuk,NA,NA,Khalil Rountree,NA,NA,No Contest (Overturned by NSAC),3,5:00
"Dec 30, 2017",UFC 219 - Cyborg vs. Holm,Featherweight,Myles Jury,NA,NA,Ricky Glenn,,,Decision (Unanimous),3,5:00
"Dec 30, 2017",UFC 219 - Cyborg vs. Holm,Middleweight,Marvin Vettori,NA,NA,Omari Akhmedov,NA,NA,Draw (Majority),3,5:00
"Dec 30, 2017",UFC 219 - Cyborg vs. Holm,Flyweight,Matheus Nicolau,NA,NA,Louis Smolka,NA,NA,Decision (Unanimous),3,5:00
"Dec 30, 2017",UFC 219 - Cyborg vs. Holm,Bantamweight,Tim Elliott,NA,NA,Mark De La Rosa,,,Submission (Anaconda Choke),2,1:41
"Dec 16, 2017",UFC on Fox 26 - Lawler vs. dos Anjos,Welterweight,Rafael dos Anjos,NA,NA,Robbie Lawler,NA,NA,Decision (Unanimous),5,5:00
"Dec 16, 2017",UFC on Fox 26 - Lawler vs. dos Anjos,149lb Catchweight,Josh Emmett,NA,NA,Ricardo Lamas,NA,NA,KO (Punch),1,4:33
"Dec 16, 2017",UFC on Fox 26 - Lawler vs. dos Anjos,Welterweight,Santiago Ponzinibbio,NA,NA,Mike Perry,NA,NA,Decision (Unanimous),3,5:00
