date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Flyweight,Brandon Moreno,125.5,-175,Amir Albazi,125.5,145,Decision (Unanimous),5,5:00
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Flyweight,Erin Blanchfield,125.5,-125,Rose Namajunas,125,105,Decision (Unanimous),5,5:00
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Light Heavyweight,Brendson Ribeiro,205,136,Caio Machado,205,-162,Decision (Split),3,5:00
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Flyweight,Jasmine Jasudavicius,125,-230,Ariane Lipski da Silva,125,190,Submission (Brabo Choke),3,2:28
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Middleweight,Dustin Stoltzfus,185.5,170,Marc-Andre Barriault,185,-205,KO (Punches),1,4:28
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Welterweight,Mike Malott,170.5,-250,Trevin Giles,170,205,Decision (Unanimous),3,5:00
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Bantamweight,Aiemann Zahabi,135.5,-115,Pedro Munhoz,135,-105,Decision (Unanimous),3,5:00
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Bantamweight,Charles Jourdain,135,-125,Victor Henry,135,105,Submission (Guillotine Choke),2,3:43
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Featherweight,Youssef Zalal,145,-258,Jack Shore,145.5,210,Submission (Arm-Triangle Choke),2,0:59
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Heavyweight,Alexander Romanov,261,-108,Rodrigo Nascimento,264,-112,Decision (Unanimous),3,5:00
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Bantamweight,Serhiy Sidey,135,-148,Garrett Armfield,135,124,Decision (Split),3,5:00
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Bantamweight,Cody Gibson,135.5,-198,Chad Anheliger,135,164,Decision (Unanimous),3,5:00
"Nov 2, 2024",UFC Fight Night 246 - Moreno vs. Albazi,Flyweight,Jamey-Lyn Horth,126,-205,Ivana Petrovic,125,170,Decision (Split),3,5:00
"Oct 26, 2024",UFC 308 - Topuria vs. Holloway,Featherweight Title Fight,Ilia Topuria,145,-230,Max Holloway,145,190,KO (Punches),3,1:34
"Oct 26, 2024",UFC 308 - Topuria vs. Holloway,Middleweight,Khamzat Chimaev,186,-245,Robert Whittaker,185.5,200,Submission (Face Crank),1,3:34
"Oct 26, 2024",UFC 308 - Topuria vs. Holloway,Light Heavyweight,Magomed Ankalaev,204.5,-345,Aleksandar Rakic,206,275,Decision (Unanimous),3,5:00
"Oct 26, 2024",UFC 308 - Topuria vs. Holloway,Featherweight,Lerone Murphy,145.5,-270,Dan Ige,146,220,Decision (Unanimous),3,5:00
"Oct 26, 2024",UFC 308 - Topuria vs. Holloway,Middleweight,Sharabutdin Magomedov,185,-155,Armen Petrosyan,186,130,KO (Spinning Backfists),2,4:52
"Oct 26, 2024",UFC 308 - Topuria vs. Holloway,Light Heavyweight,Ibo Aslan,205,-108,Raffael Cerqueira,203,-112,TKO (Punches),1,0:51
"Oct 26, 2024",UFC 308 - Topuria vs. Holloway,Welterweight,Geoff Neal,171,-305,Rafael dos Anjos,171,245,TKO (Knee Injury),1,1:30
"Oct 26, 2024",UFC 308 - Topuria vs. Holloway,160lb Catchweight,Mateusz Rebecki,160,NA,Myktybek Orolbai,159,NA,Decision (Split),3,5:00
"Oct 26, 2024",UFC 308 - Topuria vs. Holloway,Middleweight,Abusupiyan Magomedov,185,-142,Brunno Ferreira,185.5,120,Submission (Arm-Triangle Choke),3,3:14
"Oct 26, 2024",UFC 308 - Topuria vs. Holloway,Heavyweight,Kennedy Nzechukwu,241,-650,Chris Barnett,264,470,TKO (Knee to the Body and Punches),1,4:27
