date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Middleweight,Lyoto Machida,NA,NA,C.B. Dollaway,NA,NA,TKO (Kick to the Body and Punches),1,1:02
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Bantamweight,Renan Barao,NA,NA,Mitch Gagnon,NA,NA,Submission (Arm-Triangle Choke),3,3:53
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Light Heavyweight,Patrick Cummins,NA,NA,Antonio Carlos Jr.,NA,NA,Decision (Unanimous),3,5:00
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Lightweight,Rashid Magomedov,NA,NA,Elias Silverio,NA,NA,TKO (Punches),3,4:57
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Welterweight,Erick Silva,NA,NA,Mike Rhodes,NA,NA,Technical Submission (Arm-Triangle Choke),1,1:15
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Middleweight,Daniel Sarafian,NA,NA,Antonio dos Santos Jr.,NA,NA,TKO (Finger Injury),2,1:01
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Light Heavyweight,Marcos Rogerio de Lima,NA,NA,Igor Pokrajac,NA,NA,TKO (Punches),1,1:59
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Featherweight,Renato Carneiro,NA,NA,Tom Niinimaki,NA,NA,Submission (Rear-Naked Choke),2,3:30
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Featherweight,Hacran Dias,NA,NA,Darren Elkins,NA,NA,Decision (Unanimous),3,5:00
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Bantamweight,Leandro Issa,NA,NA,Yuta Sasaki,NA,NA,Submission (Neck Crank),2,4:13
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Welterweight,Tim Means,NA,NA,Marcio Alexandre Jr.,NA,NA,Decision (Split),3,5:00
"Dec 20, 2014",UFC Fight Night 58 - Machida vs. Dollaway,Middleweight,Vitor Miranda,NA,NA,Jake Collier,NA,NA,TKO (Head Kick and Punches),1,4:59
"Dec 13, 2014",UFC on Fox 13 - Dos Santos vs. Miocic,Heavyweight,Junior dos Santos,NA,NA,Stipe Miocic,NA,NA,Decision (Unanimous),5,5:00
"Dec 13, 2014",UFC on Fox 13 - Dos Santos vs. Miocic,161lb Catchweight,Rafael dos Anjos,NA,NA,Nate Diaz,NA,NA,Decision (Unanimous),3,5:00
