date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Flyweight,Tatsuro Taira,126,-185,Alex Perez,126,154,TKO (Knee Injury),2,2:59
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Bantamweight,Miles Johns,135,-122,Douglas Silva de Andrade,136,102,Decision (Unanimous),3,5:00
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Featherweight,Lucas Almeida,146,170,Timothy Cuamba,145,-205,Decision (Unanimous),3,5:00
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Bantamweight,Brady Hiestand,135,154,Garrett Armfield,135.5,-185,Submission (Rear-Naked Choke),3,1:52
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Flyweight,Asu Almabayev,125.5,-470,Jose Johnson,126,360,Decision (Unanimous),3,5:00
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Welterweight,Adam Fugitt,170,100,Josh Quinlan,169.5,-120,Decision (Split),3,5:00
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Flyweight,Nathan Maness,125.5,-455,Jimmy Flick,126,350,Decision (Unanimous),3,5:00
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Flyweight,Gabriella Fernandes,125.5,-205,Carli Judice,126,170,Decision (Split),3,5:00
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Featherweight,Westin Wilson,146,275,Jeka Saragih,145,-345,Submission (Triangle Armbar),1,1:49
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Featherweight,Melquizael Costa,145,-170,Nuerdanbieke Shayilan,145.5,142,Submission (Face Crank),3,1:50
"Jun 15, 2024",UFC on ESPN 58 - Perez vs. Taira,Strawweight,Josefine Lindgren Knutsson,114.5,-225,Julia Polastri,116,185,Decision (Unanimous),3,5:00
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Middleweight,Nassourdine Imavov,185,-125,Jared Cannonier,185,105,TKO (Punches),4,1:34
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Light Heavyweight,Dominick Reyes,205,195,Dustin Jacoby,204.5,-238,KO (Punches),1,2:00
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Bantamweight,Raul Rosas Jr.,136,-230,Ricky Turcios,136,190,Submission (Rear-Naked Choke),2,2:22
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Middleweight,Brunno Ferreira,186,-265,Dustin Stoltzfus,184.5,215,KO (Spinning Back Elbow),1,4:51
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Middleweight,Zachary Reese,185,110,Julian Marquez,185.5,-130,TKO (Body Kick and Punches),1,0:20
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Welterweight,Punahele Soriano,171,164,Miguel Baeza,171,-198,Decision (Unanimous),3,5:00
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Lightweight,Ludovit Klein,156,-125,Thiago Moises,156,105,Decision (Unanimous),3,5:00
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Welterweight,Carlos Prates,169.5,-238,Charlie Radtke,171,195,KO (Knee to the Body),1,4:47
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Bantamweight,Brad Katona,136,-625,Jesse Butler,136,455,Decision (Unanimous),3,5:00
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Flyweight,Montana De La Rosa,126,120,Andrea Lee,126,-142,Decision (Split),3,5:00
"Jun 8, 2024",UFC on ESPN 57 - Cannonier vs. Imavov,Bantamweight,Daniel Marcos,135.25,-120,John Castaneda,136,100,Decision (Unanimous),3,5:00
