date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Flyweight Title Fight,Demetrious Johnson,NA,NA,Joseph Benavidez,NA,NA,KO (Punches),1,2:08
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Bantamweight,Urijah Faber,NA,NA,Michael McDonald,NA,NA,Submission (Guillotine Choke),2,3:22
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Featherweight,Chad Mendes,NA,NA,Nik Lentz,NA,NA,Decision (Unanimous),3,5:00
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Lightweight,Joe Lauzon,NA,NA,Mac Danzig,NA,NA,Decision (Unanimous),3,5:00
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Welterweight,Ryan LaFlare,NA,NA,Court McGee,NA,NA,Decision (Unanimous),3,5:00
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Lightweight,Edson Barboza,NA,NA,Danny Castillo,NA,NA,Decision (Majority),3,5:00
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Lightweight,Bobby Green,NA,NA,Pat Healy,NA,NA,Decision (Unanimous),3,5:00
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Flyweight,Zach Makovsky,NA,NA,Scott Jorgensen,NA,NA,Decision (Unanimous),3,5:00
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Lightweight,Sam Stout,NA,NA,Cody McKenzie,NA,NA,Decision (Unanimous),3,5:00
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Lightweight,Abel Trujillo,NA,NA,Roger Bowling,NA,NA,TKO (Punches),2,1:35
"Dec 14, 2013",UFC on Fox 9 - Johnson vs. Benavidez 2,Flyweight,Alptekin Ozkilic,,,Darren Uyenoyama,NA,NA,Decision (Split),3,5:00
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Heavyweight,Mark Hunt,,,Antonio Silva,,,Draw (Majority),5,5:00
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Light Heavyweight,Mauricio Rua,,,James Te Huna,,,KO (Punch),1,1:03
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Light Heavyweight,Ryan Bader,,,Anthony Perosh,,,Decision (Unanimous),3,5:00
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Heavyweight,Soa Palelei,,,Pat Barry,,,KO (Punches),1,2:09
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Middleweight,Clint Hester,,,Dylan Andrews,,,TKO (Doctor Stoppage),2,5:00
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Bantamweight,Bethe Correia,,,Julie Kedzie,,,Decision (Split),3,5:00
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Bantamweight,Takeya Mizugaki,,,Nam Phan,,,Decision (Unanimous),3,5:00
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Middleweight,Caio Magalhaes,,,Nick Ring,,,Decision (Unanimous),3,5:00
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Flyweight,Justin Scoggins,,,Richie Vaculik,,,TKO (Punches),1,4:43
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Middleweight,Krzysztof Jotko,,,Bruno Santos,,,Decision (Unanimous),3,5:00
"Dec 7, 2013",UFC Fight Night 33 - Hunt vs. Bigfoot,Welterweight,Alex Garcia,,,Ben Wall,,,KO (Punches),1,0:43
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,Middleweight Title Fight,Chris Weidman,NA,NA,Anderson Silva,NA,NA,TKO (Leg Injury),2,1:16
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,Bantamweight Title Fight,Ronda Rousey,NA,NA,Miesha Tate,NA,NA,Submission (Armbar),3,0:58
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,Heavyweight,Travis Browne,NA,NA,Josh Barnett,NA,NA,KO (Elbows),1,1:00
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,Lightweight,Jim Miller,NA,NA,Fabricio Camoes,NA,NA,Submission (Armbar),1,3:42
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,152lb Catchweight,Dustin Poirier,NA,NA,Diego Brandao,NA,NA,KO (Punches),1,4:54
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,Middleweight,Uriah Hall,NA,NA,Chris Leben,NA,NA,TKO (Retirement),1,5:00
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,Lightweight,Michael Johnson,NA,NA,Gleison Tibau,NA,NA,KO (Punches),2,1:32
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,Featherweight,Dennis Siver,NA,NA,Manny Gamburyan,NA,NA,No Contest (Overturned by Commission),3,5:00
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,Welterweight,John Howard,NA,NA,Siyar Bahadurzada,NA,NA,Decision (Unanimous),3,5:00
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,Welterweight,William Macario,NA,NA,Bobby Voelker,NA,NA,Decision (Unanimous),3,5:00
"Dec 28, 2013",UFC 168 - Weidman vs. Silva 2,Featherweight,Robbie Peralta,NA,NA,Estevan Payan,NA,NA,TKO (Punches),3,0:12
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Middleweight,Lyoto Machida,,,Mark Munoz,,,KO (Head Kick),1,3:10
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Lightweight,Melvin Guillard,,,Ross Pearson,,,No Contest (Illegal Knee),1,1:57
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Light Heavyweight,Jimi Manuwa,,,Ryan Jimmo,,,TKO (Leg Injury),2,4:41
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Lightweight,Norman Parke,,,Jon Tuck,,,Decision (Unanimous),3,5:00
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Middleweight,Nicholas Musoke,,,Alessio Sakara,,,Submission (Armbar),1,3:07
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,128lb Catchweight,John Lineker,,,Phil Harris,,,KO (Punch to the Body),1,2:51
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Lightweight,Al Iaquinta,,,Piotr Hallmann,,,Decision (Unanimous),3,5:00
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Middleweight,Luke Barnatt,,,Andrew Craig,,,Submission (Rear-Naked Choke),2,2:12
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Bantamweight,Jessica Andrade,,,Rosi Sexton,,,Decision (Unanimous),3,5:00
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Featherweight,Cole Miller,,,Andy Ogle,,,Decision (Unanimous),3,5:00
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Featherweight,Jim Hettes,,,Robert Whiteford,,,Technical Submission (Triangle Choke),2,2:17
"Oct 26, 2013",UFC Fight Night 30 - Machida vs. Munoz,Middleweight,Bradley Scott,,,Michael Kuiper,,,Submission (Guillotine Choke),1,4:17
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Middleweight,Tim Kennedy,NA,NA,Rafael Natal,NA,NA,KO (Punches),1,4:40
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Bantamweight,Alexis Davis,NA,NA,Liz Carmouche,NA,NA,Decision (Unanimous),3,5:00
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Middleweight,Yoel Romero,NA,NA,Ronny Markes,NA,NA,KO (Punches),3,1:39
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Lightweight,Rustam Khabilov,NA,NA,Jorge Masvidal,NA,NA,Decision (Unanimous),3,5:00
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Lightweight,Michael Chiesa,NA,NA,Colton Smith,NA,NA,Submission (Rear-Naked Choke),2,1:41
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Lightweight,Bobby Green,NA,NA,James Krause,NA,NA,TKO (Body Kick),1,3:50
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Bantamweight,Francisco Rivera,NA,NA,George Roop,NA,NA,TKO (Punches),2,2:20
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Featherweight,Dennis Bermudez,NA,NA,Steven Siler,NA,NA,Decision (Unanimous),3,5:00
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Bantamweight,Amanda Nunes,NA,NA,Germaine de Randamie,NA,NA,TKO (Elbows),1,3:56
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Middleweight,Lorenz Larkin,NA,NA,Chris Camozzi,NA,NA,Decision (Unanimous),3,5:00
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Lightweight,Yancy Medeiros,NA,NA,Yves Edwards,NA,NA,No Contest (Overturned),1,2:47
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Welterweight,Seth Baczynski,NA,NA,Neil Magny,NA,NA,Decision (Unanimous),3,5:00
"Nov 6, 2013",UFC Fight Night 31 - Fight for the Troops 3,Middleweight,Derek Brunson,NA,NA,Brian Houston,NA,NA,Submission (Rear-Naked Choke),1,0:48
"Nov 9, 2013",UFC Fight Night 32 - Belfort vs. Henderson,Light Heavyweight,Vitor Belfort,NA,NA,Dan Henderson,NA,NA,KO (Head Kick),1,1:17
"Nov 9, 2013",UFC Fight Night 32 - Belfort vs. Henderson,Middleweight,Cezar Ferreira,NA,NA,Daniel Sarafian,NA,NA,Decision (Split),3,5:00
"Nov 9, 2013",UFC Fight Night 32 - Belfort vs. Henderson,Light Heavyweight,Rafael Cavalcante,,,Igor Pokrajac,NA,NA,TKO (Knees and Punches),1,1:18
"Nov 9, 2013",UFC Fight Night 32 - Belfort vs. Henderson,Welterweight,Brandon Thatch,NA,NA,Paulo Thiago,NA,NA,KO (Knee to the Body),1,2:10
"Nov 9, 2013",UFC Fight Night 32 - Belfort vs. Henderson,Welterweight,Ryan LaFlare,NA,NA,Santiago Ponzinibbio,NA,NA,Decision (Unanimous),3,5:00
"Nov 9, 2013",UFC Fight Night 32 - Belfort vs. Henderson,Featherweight,Jeremy Stephens,NA,NA,Rony Mariano Bezerra,,,KO (Head Kick),1,0:40
"Nov 9, 2013",UFC Fight Night 32 - Belfort vs. Henderson,Featherweight,Sam Sicilia,NA,NA,Godofredo Castro,NA,NA,TKO (Punches),1,1:42
"Nov 9, 2013",UFC Fight Night 32 - Belfort vs. Henderson,Middleweight,Omari Akhmedov,NA,NA,Thiago de Oliveira Perpetuo,NA,NA,KO (Punches),1,3:31
"Nov 9, 2013",UFC Fight Night 32 - Belfort vs. Henderson,Lightweight,Thiago Tavares,NA,NA,Justin Salas,NA,NA,Submission (Rear-Naked Choke),1,2:38
