date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 27, 2008",UFC 92 - The Ultimate 2008,Light Heavyweight Title Fight,Rashad Evans,,,Forrest Griffin,,,TKO (Punches),3,2:46
"Dec 27, 2008",UFC 92 - The Ultimate 2008,Heavyweight Title Fight,Frank Mir,,,Antonio Rodrigo Nogueira,,,TKO (Punches),2,1:54
"Dec 27, 2008",UFC 92 - The Ultimate 2008,,C.B. Dollaway,,,Mike Massenzio,,,TKO (Punches),1,3:01
"Dec 27, 2008",UFC 92 - The Ultimate 2008,,Quinton Jackson,,,Wanderlei Silva,,,KO (Punch),1,3:21
"Dec 27, 2008",UFC 92 - The Ultimate 2008,,Cheick Kongo,,,Mostapha Al-Turk,,,TKO (Elbows and Punches),1,4:37
"Dec 27, 2008",UFC 92 - The Ultimate 2008,,Yushin Okami,,,Dean Lister,,,Decision (Unanimous),3,5:00
"Dec 27, 2008",UFC 92 - The Ultimate 2008,,Antoni Hardonk,,,Mike Wessel,,,TKO (Punches),2,2:09
"Dec 27, 2008",UFC 92 - The Ultimate 2008,,Matt Hamill,,,Reese Andy,,,TKO (Punches),2,2:19
"Dec 27, 2008",UFC 92 - The Ultimate 2008,,Brad Blackburn,,,Ryo Chonan,,,Decision (Unanimous),3,5:00
"Dec 27, 2008",UFC 92 - The Ultimate 2008,,Pat Barry,,,Dan Evensen,,,TKO (Leg Kicks),1,2:36
"Dec 13, 2008",UFC - The Ultimate Fighter 8 Finale,,Efrain Escudero,,,Phillipe Nover,,,Decision (Unanimous),3,5:00
"Dec 13, 2008",UFC - The Ultimate Fighter 8 Finale,,Ryan Bader,,,Vinny Magalhaes,,,TKO (Punches),1,2:18
"Dec 13, 2008",UFC - The Ultimate Fighter 8 Finale,,Anthony Johnson,,,Kevin Burns,,,KO (Head Kick),3,0:28
"Dec 13, 2008",UFC - The Ultimate Fighter 8 Finale,,Wilson Gouveia,,,Jason MacDonald,,,Submission (Elbows),1,2:18
"Dec 13, 2008",UFC - The Ultimate Fighter 8 Finale,,Junie Allen Browning,,,David Kaplan,,,Submission (Armbar),2,1:32
"Dec 13, 2008",UFC - The Ultimate Fighter 8 Finale,,Krzysztof Soszynski,,,Shane Primm,,,Submission (Kimura),2,3:27
"Dec 13, 2008",UFC - The Ultimate Fighter 8 Finale,,Eliot Marshall,,,Jules Bruchez,,,Submission (Rear-Naked Choke),1,1:27
"Dec 13, 2008",UFC - The Ultimate Fighter 8 Finale,,Tom Lawlor,,,Kyle Kingsbury,,,Decision (Unanimous),3,5:00
"Dec 13, 2008",UFC - The Ultimate Fighter 8 Finale,,Shane Nelson,,,George Roop,,,Decision (Split),3,5:00
"Dec 13, 2008",UFC - The Ultimate Fighter 8 Finale,,Roli Delgado,,,John Polakowski,,,Submission (Guillotine Choke),2,2:18
"Dec 10, 2008",UFC Fight Night 16 - Fight for the Troops 1,,Josh Koscheck,,,Yoshiyuki Yoshida,,,KO (Punch),1,2:15
"Dec 10, 2008",UFC Fight Night 16 - Fight for the Troops 1,,Mike Swick,,,Jonathan Goulet,,,TKO (Punches),1,0:33
"Dec 10, 2008",UFC Fight Night 16 - Fight for the Troops 1,,Steve Cantwell,,,Razak Al-Hassan,,,Technical Submission (Armbar),1,4:04
"Dec 10, 2008",UFC Fight Night 16 - Fight for the Troops 1,,Tim Credeur,,,Nate Loughran,,,TKO (Rib Injury),2,5:00
"Dec 10, 2008",UFC Fight Night 16 - Fight for the Troops 1,,Jim Miller,,,Matt Wiman,,,Decision (Unanimous),3,5:00
"Dec 10, 2008",UFC Fight Night 16 - Fight for the Troops 1,,Luigi Fioravanti,,,Brodie Farber,,,Decision (Unanimous),3,5:00
"Dec 10, 2008",UFC Fight Night 16 - Fight for the Troops 1,,Steve Bruno,,,Johnny Rees,,,Submission (Rear-Naked Choke),2,3:44
"Dec 10, 2008",UFC Fight Night 16 - Fight for the Troops 1,,Ben Saunders,,,Brandon Wolff,,,TKO (Knees),1,1:49
"Dec 10, 2008",UFC Fight Night 16 - Fight for the Troops 1,,Dale Hartt,,,Corey Hill,,,TKO (Leg Injury),2,0:20
"Dec 10, 2008",UFC Fight Night 16 - Fight for the Troops 1,,Justin McCully,,,Eddie Sanchez,,,Decision (Unanimous),3,5:00
"Nov 15, 2008",UFC 91 - Couture vs. Lesnar,Heavyweight Title Fight,Brock Lesnar,,,Randy Couture,,,TKO (Punches),2,3:07
"Nov 15, 2008",UFC 91 - Couture vs. Lesnar,,Kenny Florian,,,Joe Stevenson,,,Submission (Rear-Naked Choke),1,4:03
"Nov 15, 2008",UFC 91 - Couture vs. Lesnar,,Dustin Hazelett,,,Tamdan McCrory,,,Submission (Reverse Armbar),1,3:59
"Nov 15, 2008",UFC 91 - Couture vs. Lesnar,,Gabriel Gonzaga,,,Josh Hendricks,,,KO (Punches),1,1:01
"Nov 15, 2008",UFC 91 - Couture vs. Lesnar,,Demian Maia,,,Nate Quarry,,,Submission (Rear-Naked Choke),1,2:13
"Nov 15, 2008",UFC 91 - Couture vs. Lesnar,,Aaron Riley,,,Jorge Gurgel,,,Decision (Unanimous),3,5:00
"Nov 15, 2008",UFC 91 - Couture vs. Lesnar,,Jeremy Stephens,,,Rafael dos Anjos,,,KO (Punches),3,0:39
"Nov 15, 2008",UFC 91 - Couture vs. Lesnar,,Mark Bocek,,,Alvin Robinson,,,Submission (Rear-Naked Choke),3,3:16
