date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 3, 2011",UFC - The Ultimate Fighter 14 Finale,,Michael Bisping,,,Jason Miller,,,TKO (Knees to the Body and Punches),3,3:34
"Dec 3, 2011",UFC - The Ultimate Fighter 14 Finale,,Diego Brandao,,,Dennis Bermudez,,,Submission (Armbar),1,4:51
"Dec 3, 2011",UFC - The Ultimate Fighter 14 Finale,,John Dodson,,,T.J. Dillashaw,,,TKO (Punches),1,1:54
"Dec 3, 2011",UFC - The Ultimate Fighter 14 Finale,,Tony Ferguson,,,Yves Edwards,,,Decision (Unanimous),3,5:00
"Dec 3, 2011",UFC - The Ultimate Fighter 14 Finale,,Johnny Bedford,,,Louis Gaudinot,,,TKO (Knees to the Body),3,1:58
"Dec 3, 2011",UFC - The Ultimate Fighter 14 Finale,,Marcus Brimage,,,Stephen Bass,,,Decision (Unanimous),3,5:00
"Dec 3, 2011",UFC - The Ultimate Fighter 14 Finale,,John Albert,,,Dustin Pague,,,TKO (Punches),1,1:09
"Dec 3, 2011",UFC - The Ultimate Fighter 14 Finale,,Roland Delorme,,,Josh Ferguson,,,Submission (Rear-Naked Choke),3,0:22
"Dec 3, 2011",UFC - The Ultimate Fighter 14 Finale,,Steven Siler,,,Josh Clopton,,,Decision (Unanimous),3,5:00
"Dec 3, 2011",UFC - The Ultimate Fighter 14 Finale,,Bryan Caraway,,,Dustin Neace,,,Submission (Rear-Naked Choke),2,3:38
"Dec 10, 2011",UFC 140 - Jones vs. Machida,Light Heavyweight Title Fight,Jon Jones,,,Lyoto Machida,,,Technical Submission (Guillotine Choke),2,4:26
"Dec 10, 2011",UFC 140 - Jones vs. Machida,Heavyweight,Frank Mir,,,Antonio Rodrigo Nogueira,,,Technical Submission (Kimura),1,3:38
"Dec 10, 2011",UFC 140 - Jones vs. Machida,Light Heavyweight,Antonio Rogerio Nogueira,,,Tito Ortiz,,,TKO (Punches and Elbows to the Body),1,3:15
"Dec 10, 2011",UFC 140 - Jones vs. Machida,,Brian Ebersole,,,Claude Patrick,,,Decision (Split),3,5:00
"Dec 10, 2011",UFC 140 - Jones vs. Machida,,Chan Sung Jung,,,Mark Hominick,,,KO (Punches),1,0:07
"Dec 10, 2011",UFC 140 - Jones vs. Machida,,Igor Pokrajac,,,Krzysztof Soszynski,,,KO (Punches),1,0:35
"Dec 10, 2011",UFC 140 - Jones vs. Machida,,Costas Philippou,,,Jared Hamman,,,KO (Punches),1,3:11
"Dec 10, 2011",UFC 140 - Jones vs. Machida,,Dennis Hallman,,,John Makdessi,,,Submission (Rear-Naked Choke),1,2:58
"Dec 10, 2011",UFC 140 - Jones vs. Machida,,Yves Jabouin,,,Walel Watson,,,Decision (Split),3,5:00
"Dec 10, 2011",UFC 140 - Jones vs. Machida,,Mark Bocek,,,Nik Lentz,,,Decision (Unanimous),3,5:00
"Dec 10, 2011",UFC 140 - Jones vs. Machida,,Jake Hecht,,,Rich Attonito,,,TKO (Elbows and Punches),2,1:10
"Dec 10, 2011",UFC 140 - Jones vs. Machida,,John Cholish,,,Mitch Clarke,,,TKO (Punches),2,4:36
"Aug 27, 2011",UFC 134 - Silva vs. Okami,Middleweight Title Fight,Anderson Silva,,,Yushin Okami,,,TKO (Punches),2,2:04
"Aug 27, 2011",UFC 134 - Silva vs. Okami,Light Heavyweight,Mauricio Rua,,,Forrest Griffin,,,KO (Punches),1,1:53
"Aug 27, 2011",UFC 134 - Silva vs. Okami,,Edson Barboza,,,Ross Pearson,,,Decision (Split),3,5:00
"Aug 27, 2011",UFC 134 - Silva vs. Okami,,Antonio Rodrigo Nogueira,,,Brendan Schaub,,,KO (Punches),1,3:09
"Aug 27, 2011",UFC 134 - Silva vs. Okami,,Stanislav Nedkov,,,Luiz Cane,,,TKO (Punches),1,4:20
"Aug 27, 2011",UFC 134 - Silva vs. Okami,,Thiago Tavares,,,Spencer Fisher,,,TKO (Punches),2,2:51
"Aug 27, 2011",UFC 134 - Silva vs. Okami,,Rousimar Palhares,,,Dan Miller,,,Decision (Unanimous),3,5:00
"Aug 27, 2011",UFC 134 - Silva vs. Okami,,Paulo Thiago,,,David Mitchell,,,Decision (Unanimous),3,5:00
"Aug 27, 2011",UFC 134 - Silva vs. Okami,,Raphael Assuncao,,,Johnny Eduardo,,,Decision (Unanimous),3,5:00
"Aug 27, 2011",UFC 134 - Silva vs. Okami,,Erick Silva,,,Luis Ramos,,,TKO (Punches),1,0:40
"Aug 27, 2011",UFC 134 - Silva vs. Okami,,Iuri Alcantara,,,Felipe Arantes,,,Decision (Unanimous),3,5:00
"Aug 27, 2011",UFC 134 - Silva vs. Okami,,Yves Jabouin,,,Ian Loveland,,,Decision (Split),3,5:00
"Aug 14, 2011",UFC Live 5 - Hardy vs. Lytle,Welterweight,Chris Lytle,,,Dan Hardy,,,Submission (Guillotine Choke),3,4:16
