date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Featherweight,Chan Sung Jung,NA,NA,Frankie Edgar,NA,NA,TKO (Punches),1,3:18
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Light Heavyweight,Volkan Oezdemir,NA,NA,Aleksandar Rakic,NA,NA,Decision (Split),3,5:00
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Featherweight,Charles Jourdain,NA,NA,Doo Ho Choi,NA,NA,TKO (Punches),2,4:32
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Light Heavyweight,Da Woon Jung,,,Mike Rodriguez,NA,NA,KO (Punches),1,1:04
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Middleweight,Jun Yong Park,NA,NA,Marc-Andre Barriault,NA,NA,Decision (Unanimous),3,5:00
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Bantamweight,Kyung Ho Kang,NA,NA,Pingyuan Liu,NA,NA,Decision (Split),3,5:00
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Heavyweight,Ciryl Gane,NA,NA,Tanner Boser,NA,NA,Decision (Unanimous),3,5:00
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Featherweight,Seung Woo Choi,,,Suman Mokhtarian,NA,NA,Decision (Unanimous),3,5:00
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Lightweight,Omar Morales,,,Dong Hyun Ma,NA,NA,Decision (Unanimous),3,5:00
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Flyweight,Alexandre Pantoja,NA,NA,Matt Schnell,NA,NA,KO (Punches),1,4:17
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Bantamweight,Raoni Barcelos,NA,NA,Said Nurmagomedov,NA,NA,Decision (Unanimous),3,5:00
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Strawweight,Amanda Lemos,NA,NA,Miranda Granger,NA,NA,Technical Submission (Rear-Naked Choke),1,3:43
"Dec 21, 2019",UFC Fight Night 165 - Edgar vs. Korean Zombie,Bantamweight,Heili Alateng,NA,NA,Ryan Benoit,NA,NA,Decision (Split),3,5:00
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Welterweight Title Fight,Kamaru Usman,NA,NA,Colby Covington,NA,NA,TKO (Punches),5,4:10
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Featherweight Title Fight,Alexander Volkanovski,NA,NA,Max Holloway,NA,NA,Decision (Unanimous),5,5:00
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Bantamweight Title Fight,Amanda Nunes,NA,NA,Germaine de Randamie,NA,NA,Decision (Unanimous),5,5:00
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Bantamweight,Marlon Moraes,NA,NA,Jose Aldo,NA,NA,Decision (Split),3,5:00
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Bantamweight,Petr Yan,NA,NA,Urijah Faber,NA,NA,KO (Head Kick),3,0:43
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Welterweight,Geoff Neal,NA,NA,Mike Perry,NA,NA,TKO (Head Kick and Punches),1,1:30
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Bantamweight,Irene Aldana,NA,NA,Ketlen Vieira,NA,NA,KO (Punches),1,4:51
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Middleweight,Omari Akhmedov,NA,NA,Ian Heinisch,NA,NA,Decision (Unanimous),3,5:00
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Welterweight,Matt Brown,NA,NA,Ben Saunders,NA,NA,KO (Elbows and Punches),2,4:55
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Featherweight,Chase Hooper,NA,NA,Daniel Teymur,NA,NA,TKO (Elbows and Punches),1,4:34
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Flyweight,Brandon Moreno,NA,NA,Kai Kara-France,NA,NA,Decision (Unanimous),3,5:00
"Dec 14, 2019",UFC 245 - Usman vs. Covington,131lb Catchweight,Jessica Eye,NA,NA,Viviane Araujo,NA,NA,Decision (Unanimous),3,5:00
"Dec 14, 2019",UFC 245 - Usman vs. Covington,Middleweight,Punahele Soriano,NA,NA,Oskar Piechota,NA,NA,KO (Punch),1,3:17
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Light Heavyweight,Jan Blachowicz,NA,NA,Ronaldo Souza,NA,NA,Decision (Split),5,5:00
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Light Heavyweight,Mauricio Rua,NA,NA,Paul Craig,NA,NA,Draw (Split),3,5:00
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Lightweight,Charles Oliveira,NA,NA,Jared Gordon,NA,NA,KO (Punches),1,1:26
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Middleweight,Andre Muniz,NA,NA,Antonio Arroyo,NA,NA,Decision (Unanimous),3,5:00
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Middleweight,Wellington Turman,NA,NA,Markus Perez,NA,NA,Decision (Unanimous),3,5:00
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Welterweight,James Krause,NA,NA,Sergio Moraes,NA,NA,KO (Punches),3,4:19
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Featherweight,Ricardo Ramos,NA,NA,Luiz Eduardo Garagorri,NA,NA,Submission (Rear-Naked Choke),1,3:57
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Lightweight,Francisco Trinaldo,NA,NA,Bobby Green,NA,NA,Decision (Unanimous),3,5:00
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Welterweight,Randy Brown,NA,NA,Warlley Alves,NA,NA,Submission (Triangle Choke),2,1:22
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Featherweight,Douglas Silva de Andrade,NA,NA,Renan Barao,NA,NA,Decision (Unanimous),3,5:00
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,131lb Catchweight,Ariane Lipski da Silva,NA,NA,Isabela de Padua,NA,NA,Decision (Unanimous),3,5:00
"Nov 16, 2019",UFC Fight Night 164 - Blachowicz vs. Jacare,Bantamweight,Tracy Cortez,NA,NA,Vanessa Melo,NA,NA,Decision (Unanimous),3,5:00
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Featherweight,Zabit Magomedsharipov,NA,NA,Calvin Kattar,NA,NA,Decision (Unanimous),3,5:00
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Heavyweight,Alexander Volkov,NA,NA,Greg Hardy,NA,NA,Decision (Unanimous),3,5:00
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Welterweight,Danny Roberts,NA,NA,Zelim Imadaev,NA,NA,KO (Punch),2,4:54
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Light Heavyweight,Ed Herman,NA,NA,Khadis Ibragimov,NA,NA,Decision (Unanimous),3,5:00
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Welterweight,Anthony Rocco Martin,NA,NA,Ramazan Emeev,NA,NA,Decision (Unanimous),3,5:00
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Light Heavyweight,Shamil Gamzatov,NA,NA,Klidson Abreu,NA,NA,Decision (Split),3,5:00
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Light Heavyweight,Magomed Ankalaev,NA,NA,Dalcha Lungiambula,NA,NA,KO (Front Kick and Punch),3,0:29
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Welterweight,Rustam Khabilov,NA,NA,Sergey Khandozhko,NA,NA,Decision (Unanimous),3,5:00
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Middleweight,Karl Roberson,NA,NA,Roman Kopylov,NA,NA,Submission (Rear-Naked Choke),3,4:01
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Welterweight,David Zawada,NA,NA,Abubakar Nurmagomedov,NA,NA,Submission (Triangle Choke),1,2:50
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Lightweight,Roosevelt Roberts,NA,NA,Alexander Yakovlev,NA,NA,Decision (Unanimous),3,5:00
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Bantamweight,Pannie Kianzad,NA,NA,Jessica-Rose Clark,NA,NA,Decision (Unanimous),3,5:00
"Nov 9, 2019",UFC Fight Night 163 - Magomedsharipov vs. Kattar,Bantamweight,Davey Grant,NA,NA,Grigory Popov,NA,NA,Decision (Split),3,5:00
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Welterweight,Demian Maia,NA,NA,Ben Askren,NA,NA,Technical Submission (Rear-Naked Choke),3,3:54
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Lightweight,Steven Ray,NA,NA,Michael Johnson,NA,NA,Decision (Majority),3,5:00
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Lightweight,Beneil Dariush,NA,NA,Frank Camacho,NA,NA,Submission (Rear-Naked Choke),1,2:02
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Heavyweight,Ciryl Gane,NA,NA,Don'Tale Mayes,NA,NA,Submission (Heel Hook),3,4:46
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Welterweight,Muslim Salikhov,NA,NA,Laureano Staropoli,NA,NA,Decision (Unanimous),3,5:00
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Strawweight,Randa Markos,NA,NA,Ashley Yoder,NA,NA,Decision (Split),3,5:00
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Lightweight,Rafael Fiziev,NA,NA,Alex White,NA,NA,Decision (Unanimous),3,5:00
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Featherweight,Movsar Evloev,NA,NA,Enrique Barzola,NA,NA,Decision (Unanimous),3,5:00
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Heavyweight,Sergei Pavlovich,NA,NA,Maurice Greene,NA,NA,TKO (Punches),1,2:11
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Strawweight,Konklak Suphisara,NA,NA,Aleksandra Albu,NA,NA,Decision (Split),3,5:00
"Oct 26, 2019",UFC Fight Night 162 - Maia vs. Askren,Heavyweight,Raphael Pessoa,NA,NA,Jeff Hughes,NA,NA,Decision (Unanimous),3,5:00
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,Heavyweight,Jairzinho Rozenstruik,NA,NA,Alistair Overeem,NA,NA,KO (Punch),5,4:56
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,121lb Catchweight,Marina Rodriguez,NA,NA,Cynthia Calvillo,NA,NA,Draw (Majority),3,5:00
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,Heavyweight,Ben Rothwell,NA,NA,Stefan Struve,NA,NA,TKO (Punches),2,4:57
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,Bantamweight,Aspen Ladd,NA,NA,Yana Santos,,,TKO (Punches),3,0:33
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,Bantamweight,Cody Stamann,NA,NA,Yadong Song,NA,NA,Draw (Majority),3,5:00
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,Bantamweight,Rob Font,NA,NA,Ricky Simon,NA,NA,Decision (Unanimous),3,5:00
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,Welterweight,Tim Means,NA,NA,Thiago Alves,NA,NA,Submission (Guillotine Choke),1,2:38
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,Featherweight,Billy Quarantillo,NA,NA,Jacob Kilburn,NA,NA,Submission (Triangle Choke),2,3:18
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,149lb Catchweight,Bryce Mitchell,NA,NA,Matt Sayles,NA,NA,Submission (Twister),1,4:20
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,Lightweight,Joe Solecki,NA,NA,Matt Wiman,NA,NA,Decision (Unanimous),3,5:00
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,Strawweight,Virna Jandiroba,NA,NA,Mallory Martin,NA,NA,Submission (Rear-Naked Choke),2,1:16
"Dec 7, 2019",UFC on ESPN 7 - Overeem vs. Rozenstruik,Middleweight,Makhmud Muradov,NA,NA,Trevor Smith,NA,NA,KO (Punch),3,4:09
"Nov 2, 2019",UFC 244 - Masvidal vs. Diaz,Welterweight,Jorge Masvidal,NA,NA,Nate Diaz,NA,NA,TKO (Doctor Stoppage),3,5:00
"Nov 2, 2019",UFC 244 - Masvidal vs. Diaz,Middleweight,Darren Till,NA,NA,Kelvin Gastelum,NA,NA,Decision (Split),3,5:00
"Nov 2, 2019",UFC 244 - Masvidal vs. Diaz,Welterweight,Stephen Thompson,NA,NA,Vicente Luque,NA,NA,Decision (Unanimous),3,5:00
"Nov 2, 2019",UFC 244 - Masvidal vs. Diaz,Heavyweight,Derrick Lewis,NA,NA,Blagoy Ivanov,NA,NA,Decision (Split),3,5:00
"Nov 2, 2019",UFC 244 - Masvidal vs. Diaz,Lightweight,Kevin Lee,NA,NA,Gregor Gillespie,NA,NA,KO (Head Kick),1,2:47
