date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Heavyweight,Derrick Lewis,265,NA,Chris Daukaus,235.5,NA,KO (Punches),1,3:36
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Welterweight,Belal Muhammad,170.5,NA,Stephen Thompson,170.5,NA,Decision (Unanimous),3,5:00
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Strawweight,Amanda Lemos,115,NA,Angela Hill,115.5,NA,Decision (Split),3,5:00
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Bantamweight,Ricky Simon,135.5,NA,Raphael Assuncao,136,NA,KO (Punches),2,2:14
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Lightweight,Mateusz Gamrot,155.5,NA,Diego Ferreira,156,NA,TKO (Submission to Knee to the Body),2,3:26
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Featherweight,Cub Swanson,145.5,NA,Darren Elkins,145.5,NA,TKO (Spinning Wheel Kick and Punches),1,2:12
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Middleweight,Gerald Meerschaert,185.5,NA,Dustin Stoltzfus,185.5,NA,Submission (Rear-Naked Choke),3,2:58
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Heavyweight,Justin Tafa,267: Missed Weight,NA,Harry Hunsucker,238.5,NA,KO (Head Kick),1,1:53
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,128lb Catchweight,Melissa Gatto,125,NA,Sijara Eubanks,127.5: Missed Weight,NA,TKO (Body Kick and Punches),3,0:45
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Featherweight,Charles Jourdain,145.5,NA,Andre Ewell,145,NA,Decision (Unanimous),3,5:00
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,149lb Catchweight,Raquel Pennington,145,NA,Macy Chiasson,148.5: Missed Weight,NA,Submission (Guillotine Choke),2,3:07
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Heavyweight,Don'Tale Mayes,256.5,NA,Josh Parisian,262,NA,TKO (Elbows),3,3:26
"Dec 18, 2021",UFC Fight Night 199 - Lewis vs. Daukaus,Lightweight,Jordan Leavitt,155.5,NA,Matt Sayles,155.5,NA,Submission (Inverted Triangle Choke),2,2:05
"Dec 11, 2021",UFC 269 - Oliveira vs. Poirier,Lightweight Title Fight,Charles Oliveira,155,NA,Dustin Poirier,154.5,NA,Submission (Rear-Naked Choke),3,1:02
"Dec 11, 2021",UFC 269 - Oliveira vs. Poirier,BantamweightTitle Fight,Julianna Pena,135,NA,Amanda Nunes,134.5,NA,Submission (Rear-Naked Choke),2,3:26
"Dec 11, 2021",UFC 269 - Oliveira vs. Poirier,Welterweight,Geoff Neal,170.5,NA,Santiago Ponzinibbio,169.5,NA,Decision (Split),3,5:00
"Dec 11, 2021",UFC 269 - Oliveira vs. Poirier,Flyweight,Kai Kara-France,,,Cody Garbrandt,126,NA,TKO (Punches),1,3:21
"Dec 11, 2021",UFC 269 - Oliveira vs. Poirier,Bantamweight,Sean O'Malley,135.5,NA,Raulian Paiva,135.5,NA,TKO (Punches),1,4:42
"Dec 11, 2021",UFC 269 - Oliveira vs. Poirier,Featherweight,Josh Emmett,145.5,NA,Dan Ige,146,NA,Decision (Unanimous),3,5:00
"Dec 11, 2021",UFC 269 - Oliveira vs. Poirier,Bantamweight,Dominick Cruz,135,NA,Pedro Munhoz,135.5,NA,Decision (Unanimous),3,5:00
"Dec 11, 2021",UFC 269 - Oliveira vs. Poirier,Heavyweight,Tai Tuivasa,264,NA,Augusto Sakai,263.5,NA,KO (Punches),2,0:26
