date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 30, 2016",UFC 207 - Nunes vs. Rousey,Bantamweight Title Fight,Amanda Nunes,NA,NA,Ronda Rousey,NA,NA,TKO (Punches),1,0:48
"Dec 30, 2016",UFC 207 - Nunes vs. Rousey,Bantamweight Title Fight,Cody Garbrandt,NA,NA,Dominick Cruz,NA,NA,Decision (Unanimous),5,5:00
"Dec 30, 2016",UFC 207 - Nunes vs. Rousey,Bantamweight,T.J. Dillashaw,NA,NA,John Lineker,NA,NA,Decision (Unanimous),3,5:00
"Dec 30, 2016",UFC 207 - Nunes vs. Rousey,Welterweight,Dong Hyun Kim,NA,NA,Tarec Saffiedine,NA,NA,Decision (Split),3,5:00
"Dec 30, 2016",UFC 207 - Nunes vs. Rousey,130lb Catchweight,Ray Borg,NA,NA,Louis Smolka,NA,NA,Decision (Unanimous),3,5:00
"Dec 30, 2016",UFC 207 - Nunes vs. Rousey,174lb Catchweight,Neil Magny,NA,NA,Johny Hendricks,NA,NA,Decision (Unanimous),3,5:00
"Dec 30, 2016",UFC 207 - Nunes vs. Rousey,Middleweight,Antonio Carlos Jr.,NA,NA,Marvin Vettori,NA,NA,Decision (Unanimous),3,5:00
"Dec 30, 2016",UFC 207 - Nunes vs. Rousey,Welterweight,Alex Garcia,NA,NA,Mike Pyle,NA,NA,KO (Punch),1,3:34
"Dec 30, 2016",UFC 207 - Nunes vs. Rousey,Welterweight,Niko Price,NA,NA,Brandon Thatch,NA,NA,Submission (Arm-Triangle Choke),1,4:30
"Dec 30, 2016",UFC 207 - Nunes vs. Rousey,Welterweight,Alex Oliveira,NA,NA,Tim Means,NA,NA,No Contest (Illegal Knee),1,3:33
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Strawweight,Michelle Waterson-Gomez,NA,NA,Paige VanZant,NA,NA,Technical Submission (Rear-Naked Choke),1,3:21
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Welterweight,Mickey Gall,NA,NA,Sage Northcutt,NA,NA,Submission (Rear-Naked Choke),2,1:40
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Bantamweight,Urijah Faber,NA,NA,Brad Pickett,NA,NA,Decision (Unanimous),3,5:00
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Welterweight,Alan Jouban,NA,NA,Mike Perry,NA,NA,Decision (Unanimous),3,5:00
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Light Heavyweight,Paul Craig,,,Henrique da Silva,NA,NA,Submission (Armbar),2,1:59
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Featherweight,Mizuto Hirota,NA,NA,Cole Miller,NA,NA,Decision (Unanimous),3,5:00
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Welterweight,Colby Covington,NA,NA,Bryan Barberena,NA,NA,Decision (Unanimous),3,5:00
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Welterweight,Alex Morono,NA,NA,James Moontasri,NA,NA,Decision (Unanimous),3,5:00
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Lightweight,Josh Emmett,NA,NA,Scott Holtzman,NA,NA,Decision (Unanimous),3,5:00
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Bantamweight,Leslie Smith,NA,NA,Irene Aldana,NA,NA,Decision (Unanimous),3,5:00
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Bantamweight,Eddie Wineland,NA,NA,Takeya Mizugaki,NA,NA,TKO (Punches),1,3:04
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Flyweight,Hector Sandoval,NA,NA,Fredy Serrano,NA,NA,Decision (Unanimous),3,5:00
"Dec 17, 2016",UFC on Fox 22 - VanZant vs. Waterson,Welterweight,Sultan Aliev,NA,NA,Bojan Velickovic,NA,NA,Decision (Split),3,5:00
"Dec 10, 2016",UFC 206 - Holloway vs. Pettis,148lb Title Fight,Max Holloway,NA,NA,Anthony Pettis,NA,NA,TKO (Body Kick and Punches),3,4:50
"Dec 10, 2016",UFC 206 - Holloway vs. Pettis,Welterweight,Donald Cerrone,NA,NA,Matt Brown,NA,NA,KO (Head Kick),3,0:34
"Dec 10, 2016",UFC 206 - Holloway vs. Pettis,Featherweight,Cub Swanson,NA,NA,Doo Ho Choi,NA,NA,Decision (Unanimous),3,5:00
"Dec 10, 2016",UFC 206 - Holloway vs. Pettis,Middleweight,Kelvin Gastelum,NA,NA,Tim Kennedy,NA,NA,TKO (Punches),3,2:45
"Dec 10, 2016",UFC 206 - Holloway vs. Pettis,Welterweight,Emil Meek,,,Jordan Mein,NA,NA,Decision (Unanimous),3,5:00
"Dec 10, 2016",UFC 206 - Holloway vs. Pettis,Light Heavyweight,Misha Cirkunov,NA,NA,Nikita Krylov,NA,NA,Submission (Guillotine Choke),1,4:38
"Dec 10, 2016",UFC 206 - Holloway vs. Pettis,Lightweight,Olivier Aubin-Mercier,NA,NA,Drew Dober,NA,NA,Submission (Rear-Naked Choke),2,2:57
"Dec 10, 2016",UFC 206 - Holloway vs. Pettis,118lb Catchweight,Viviane Pereira,NA,NA,Valerie Letourneau,NA,NA,Decision (Split),3,5:00
"Dec 10, 2016",UFC 206 - Holloway vs. Pettis,Bantamweight,Matthew Lopez,NA,NA,Mitch Gagnon,NA,NA,Decision (Unanimous),3,5:00
