Event Type,Week,Away Team,Home Team,Closing Spread,Total,Away Implied Score,Home Implied Score,Favorite,Actual winner,Away Score,Home Score,Favorite Covered,Post Game Spread,Underdog won,Road dog,Road dog won,Home dog,Home dog won,Actual Total,Over/Under
Regular Season,1,DET,KC,4,52.5,24.25,28.25,KC,DET,21,20,False,5,True,True,True,False,False,41,Under
Regular Season,1,TEN,NO,3,41.5,19.25,22.25,NO,NO,15,16,False,2,False,True,False,False,False,31,Under
Regular Season,1,JAC,IND,3.5,45.5,24.5,21,JAC,JAC,31,21,True,6.5,False,False,False,True,False,52,Over
Regular Season,1,TB,MIN,4,45,20.5,24.5,MIN,TB,20,17,False,7,True,True,True,False,False,37,Under
Regular Season,1,HOU,BAL,9.5,43.5,17,26.5,BAL,BAL,9,25,True,6.5,False,True,False,False,False,34,Under
Regular Season,1,CIN,CLE,1,46.5,23.75,22.75,CIN,CLE,3,24,False,22,True,False,False,True,True,27,Under
Regular Season,1,ARI,WAS,7,38,15.5,22.5,WAS,WAS,16,20,False,3,False,True,False,False,False,36,Under
Regular Season,1,CAR,ATL,3.5,40.5,18.5,22,ATL,ATL,10,24,True,10.5,False,True,False,False,False,34,Under
Regular Season,1,SF,PIT,1.5,41.5,21.5,20,SF,SF,30,7,True,21.5,False,False,False,True,False,37,Under
Regular Season,1,PHI,NE,3.5,44,23.75,20.25,PHI,PHI,25,20,True,1.5,False,False,False,True,False,45,Over
Regular Season,1,MIA,LAC,3,50,23.5,26.5,LAC,MIA,36,34,False,5,True,True,True,False,False,70,Over
Regular Season,1,LA,SEA,4.5,44,19.75,24.25,SEA,LA,30,13,False,21.5,True,True,True,False,False,43,Under
Regular Season,1,LV,DEN,3,43,20,23,DEN,LV,17,16,False,4,True,True,True,False,False,33,Under
Regular Season,1,GB,CHI,1,41,20,21,CHI,GB,38,20,False,19,True,True,True,False,False,58,Over
Regular Season,1,DAL,NYG,3.5,44.5,24,20.5,DAL,DAL,40,0,True,36.5,False,False,False,True,False,40,Under
Regular Season,1,BUF,NYJ,2.5,44.5,23.5,21,BUF,NYJ,16,22,False,8.5,True,False,False,True,True,38,Under
Regular Season,2,MIN,PHI,6,49,21.5,27.5,PHI,PHI,28,34,False,Push,False,True,False,False,False,62,Over
Regular Season,2,CHI,TB,2.5,40.5,19,21.5,TB,TB,17,27,True,7.5,False,True,False,False,False,44,Over
Regular Season,2,GB,ATL,3,40.5,18.75,21.75,ATL,ATL,24,25,False,2,False,True,False,False,False,49,Over
Regular Season,2,LAC,TEN,2.5,45.5,24,21.5,LAC,TEN,24,27,False,5.5,True,False,False,True,True,51,Over
Regular Season,2,BAL,CIN,3,45.5,21.25,24.25,CIN,BAL,27,24,False,6,True,True,True,False,False,51,Over
Regular Season,2,KC,JAC,3,50.5,26.75,23.75,KC,KC,17,9,True,5,False,False,False,True,False,26,Under
Regular Season,2,LV,BUF,7.5,47,19.75,27.25,BUF,BUF,10,38,True,20.5,False,True,False,False,False,48,Over
Regular Season,2,SEA,DET,5,47.5,21.25,26.25,DET,SEA,37,31,False,11,True,True,True,False,False,68,Over
Regular Season,2,IND,HOU,1,40,19.5,20.5,HOU,IND,31,20,False,12,True,True,True,False,False,51,Over
Regular Season,2,NYG,ARI,4.5,40,22.25,17.75,NYG,NYG,31,28,False,1.5,False,False,False,True,False,59,Over
Regular Season,2,SF,LA,7.5,45,26.25,18.75,SF,SF,30,23,False,0.5,False,False,False,True,False,53,Over
Regular Season,2,NYJ,DAL,8,39.5,15.75,23.75,DAL,DAL,10,30,True,12,False,True,False,False,False,40,Over
Regular Season,2,WAS,DEN,3.5,39,17.75,21.25,DEN,WAS,35,33,False,5.5,True,True,True,False,False,68,Over
Regular Season,2,MIA,NE,2,46.5,24.25,22.25,MIA,MIA,24,17,True,5,False,False,False,True,False,41,Under
Regular Season,2,NO,CAR,3,39.5,21.25,18.25,NO,NO,20,17,False,Push,False,False,False,True,False,37,Under
Regular Season,2,CLE,PIT,2,39,20.5,18.5,CLE,PIT,22,26,False,6,True,False,False,True,True,48,Over
Regular Season,3,NYG,SF,10.5,43.5,16.5,27,SF,SF,12,30,True,7.5,False,True,False,False,False,42,Under
Regular Season,3,DEN,MIA,6,47.5,20.75,26.75,MIA,MIA,20,70,True,44,False,True,False,False,False,90,Over
Regular Season,3,HOU,JAC,7.5,43.5,18,25.5,JAC,HOU,37,17,False,27.5,True,True,True,False,False,54,Over
Regular Season,3,IND,BAL,7.5,44,18.25,25.75,BAL,IND,22,19,False,10.5,True,True,True,False,False,41,Under
Regular Season,3,BUF,WAS,5,44,24.5,19.5,BUF,BUF,37,3,True,29,False,False,False,True,False,40,Under
Regular Season,3,ATL,DET,3,47.5,22.25,25.25,DET,DET,6,20,True,11,False,True,False,False,False,26,Under
Regular Season,3,TEN,CLE,3.5,38,17.25,20.75,CLE,CLE,3,27,True,20.5,False,True,False,False,False,30,Under
Regular Season,3,NO,GB,1.5,41.5,21.5,20,NO,GB,17,18,False,2.5,True,False,False,True,True,35,Under
Regular Season,3,LAC,MIN,1,52.5,25.75,26.75,MIN,LAC,28,24,False,5,True,True,True,False,False,52,Under
Regular Season,3,NE,NYJ,2.5,35,18.75,16.25,NE,NE,15,10,True,2.5,False,False,False,True,False,25,Under
Regular Season,3,CAR,SEA,4.5,42.5,19,23.5,SEA,SEA,27,37,True,5.5,False,True,False,False,False,64,Over
Regular Season,3,CHI,KC,13,48.5,17.75,30.75,KC,KC,10,41,True,18,False,True,False,False,False,51,Over
