Event Type,Week,Away Team,Home Team,Closing Spread,Total,Away Implied Score,Home Implied Score,Favorite,Actual winner,Away Score,Home Score,Favorite Covered,Post Game Spread,Underdog won,Road dog,Road dog won,Home dog,Home dog won,Actual Total,Over/Under
Regular Season,1,DAL,TB,10.0,52.5,21.25,31.25,TB,TB,29.0,31.0,False,8.0,False,True,False,False,False,60.0,Over
Regular Season,1,JAC,HOU,3.0,45.5,24.25,21.25,JAC,HOU,21.0,37.0,False,19.0,True,False,False,True,True,58.0,Over
Regular Season,1,NYJ,CAR,3.5,44.5,20.5,24.0,CAR,CAR,14.0,19.0,True,1.5,False,True,False,False,False,33.0,Under
Regular Season,1,MIN,CIN,3.0,47.0,25.0,22.0,MIN,CIN,24.0,27.0,False,6.0,True,False,False,True,True,51.0,Over
Regular Season,1,SF,DET,9.5,46.0,27.75,18.25,SF,SF,41.0,33.0,False,1.5,False,False,False,True,False,74.0,Over
Regular Season,1,ARI,TEN,3.0,54.0,25.5,28.5,TEN,ARI,38.0,13.0,False,28.0,True,True,True,False,False,51.0,Under
Regular Season,1,LAC,WAS,2.0,45.5,21.75,23.75,WAS,LAC,20.0,16.0,False,6.0,True,True,True,False,False,36.0,Under
Regular Season,1,PHI,ATL,3.0,48.5,22.75,25.75,ATL,PHI,32.0,6.0,False,29.0,True,True,True,False,False,38.0,Under
Regular Season,1,SEA,IND,3.0,49.0,26.0,23.0,SEA,SEA,28.0,16.0,True,9.0,False,False,False,True,False,44.0,Under
Regular Season,1,PIT,BUF,6.5,48.0,20.75,27.25,BUF,PIT,23.0,16.0,False,13.5,True,True,True,False,False,39.0,Under
Regular Season,1,MIA,NE,3.0,43.0,20.0,23.0,NE,MIA,17.0,16.0,False,4.0,True,True,True,False,False,33.0,Under
Regular Season,1,DEN,NYG,3.0,41.5,22.25,19.25,DEN,DEN,27.0,13.0,True,11.0,False,False,False,True,False,40.0,Under
Regular Season,1,GB,NO,4.0,49.0,26.5,22.5,GB,NO,3.0,38.0,False,39.0,True,False,False,True,True,41.0,Under
Regular Season,1,CLE,KC,5.5,54.5,24.5,30.0,KC,KC,29.0,33.0,False,1.5,False,True,False,False,False,62.0,Over
Regular Season,1,CHI,LA,9.5,46.0,18.25,27.75,LA,LA,14.0,34.0,True,10.5,False,True,False,False,False,48.0,Over
Regular Season,1,BAL,LV,3.0,50.5,26.75,23.75,BAL,LV,27.0,33.0,False,9.0,True,False,False,True,True,60.0,Over
Regular Season,2,NYG,WAS,4.0,41.5,18.75,22.75,WAS,WAS,29.0,30.0,False,3.0,False,True,False,False,False,59.0,Over
Regular Season,2,DEN,JAC,6.0,45.0,25.5,19.5,DEN,DEN,23.0,13.0,True,4.0,False,False,False,True,False,36.0,Under
Regular Season,2,LA,IND,4.0,48.0,26.0,22.0,LA,LA,27.0,24.0,False,1.0,False,False,False,True,False,51.0,Over
Regular Season,2,CIN,CHI,2.0,44.5,21.25,23.25,CHI,CHI,17.0,20.0,True,1.0,False,True,False,False,False,37.0,Under
Regular Season,2,NO,CAR,3.0,45.0,24.0,21.0,NO,CAR,7.0,26.0,False,22.0,True,False,False,True,True,33.0,Under
Regular Season,2,NE,NYJ,5.5,43.0,24.25,18.75,NE,NE,25.0,6.0,True,13.5,False,False,False,True,False,31.0,Under
Regular Season,2,HOU,CLE,13.5,48.5,17.5,31.0,CLE,CLE,21.0,31.0,False,3.5,False,True,False,False,False,52.0,Over
Regular Season,2,BUF,MIA,3.5,48.0,25.75,22.25,BUF,BUF,35.0,0.0,True,31.5,False,False,False,True,False,35.0,Under
Regular Season,2,LV,PIT,5.5,46.5,20.5,26.0,PIT,LV,26.0,17.0,False,14.5,True,True,True,False,False,43.0,Under
