Event Type,Week,Away Team,Home Team,Closing Spread,Total,Away Implied Score,Home Implied Score,Favorite,Actual winner,Away Score,Home Score,Favorite Covered,Post Game Spread,Underdog won,Road dog,Road dog won,Home dog,Home dog won,Actual Total,Over/Under
Regular Season,1,GB,CHI,3.5,47.0,21.75,25.25,CHI,GB,10.0,3.0,False,10.5,True,True,True,False,False,13.0,Under
Regular Season,1,BUF,NYJ,2.5,41.5,19.5,22.0,NYJ,BUF,17.0,16.0,False,3.5,True,True,True,False,False,33.0,Under
Regular Season,1,TEN,CLE,5.5,44.0,19.25,24.75,CLE,TEN,43.0,13.0,False,35.5,True,True,True,False,False,56.0,Over
Regular Season,1,KC,JAC,3.5,52.5,28.0,24.5,KC,KC,40.0,26.0,True,10.5,False,False,False,True,False,66.0,Over
Regular Season,1,LAR,CAR,2.0,49.5,25.75,23.75,LAR,LAR,30.0,27.0,True,1.0,False,False,False,True,False,57.0,Over
Regular Season,1,WAS,PHI,10.0,44.0,17.0,27.0,PHI,PHI,27.0,32.0,False,5.0,False,True,False,False,False,59.0,Over
Regular Season,1,ATL,MIN,3.5,46.5,21.5,25.0,MIN,MIN,12.0,28.0,True,12.5,False,True,False,False,False,40.0,Under
Regular Season,1,BAL,MIA,7.0,41.0,24.0,17.0,BAL,BAL,59.0,10.0,True,42.0,False,False,False,True,False,69.0,Over
Regular Season,1,CIN,SEA,9.5,44.0,17.25,26.75,SEA,SEA,20.0,21.0,False,8.5,False,True,False,False,False,41.0,Under
Regular Season,1,IND,LAC,6.0,44.5,19.25,25.25,LAC,LAC,24.0,30.0,False,Push,False,True,False,False,False,54.0,Over
Regular Season,1,SF,TB,1.0,51.0,25.0,26.0,TB,SF,31.0,17.0,False,15.0,True,True,True,False,False,48.0,Under
Regular Season,1,NYG,DAL,7.0,44.0,18.5,25.5,DAL,DAL,17.0,35.0,True,11.0,False,True,False,False,False,52.0,Over
Regular Season,1,DET,ARI,2.5,47.5,25.0,22.5,DET,ARI,27.0,27.0,False,2.5,False,False,False,True,False,54.0,Over
Regular Season,1,PIT,NE,5.5,49.0,21.75,27.25,NE,NE,3.0,33.0,True,24.5,False,True,False,False,False,36.0,Under
Regular Season,1,HOU,NO,6.5,52.5,23.0,29.5,NO,NO,28.0,30.0,False,4.5,False,True,False,False,False,58.0,Over
Regular Season,1,DEN,LV,3.0,42.5,22.75,19.75,DEN,LV,16.0,24.0,False,11.0,True,False,False,True,True,40.0,Under
Regular Season,2,TB,CAR,6.5,48.0,20.75,27.25,CAR,TB,20.0,14.0,False,12.5,True,True,True,False,False,34.0,Under
Regular Season,2,BUF,NYG,1.0,44.5,22.75,21.75,BUF,BUF,28.0,14.0,True,13.0,False,False,False,True,False,42.0,Under
Regular Season,2,SEA,PIT,4.0,47.0,21.5,25.5,PIT,SEA,28.0,26.0,False,6.0,True,True,True,False,False,54.0,Over
Regular Season,2,JAC,HOU,7.0,43.0,18.0,25.0,HOU,HOU,12.0,13.0,False,6.0,False,True,False,False,False,25.0,Under
Regular Season,2,MIN,GB,3.0,43.0,20.0,23.0,GB,GB,16.0,21.0,True,2.0,False,True,False,False,False,37.0,Under
Regular Season,2,NE,MIA,18.0,48.5,33.25,15.25,NE,NE,43.0,0.0,True,25.0,False,False,False,True,False,43.0,Under
Regular Season,2,SF,CIN,1.0,46.0,22.5,23.5,CIN,SF,41.0,17.0,False,25.0,True,True,True,False,False,58.0,Over
Regular Season,2,ARI,BAL,13.0,46.0,16.5,29.5,BAL,BAL,17.0,23.0,False,7.0,False,True,False,False,False,40.0,Under
Regular Season,2,IND,TEN,3.5,43.5,20.0,23.5,TEN,IND,19.0,17.0,False,5.5,True,True,True,False,False,36.0,Under
Regular Season,2,DAL,WAS,6.0,46.0,26.0,20.0,DAL,DAL,31.0,21.0,True,4.0,False,False,False,True,False,52.0,Over
Regular Season,2,LAC,DET,1.0,46.5,23.75,22.75,LAC,DET,10.0,13.0,False,4.0,True,False,False,True,True,23.0,Under
Regular Season,2,KC,LV,7.0,53.0,30.0,23.0,KC,KC,28.0,10.0,True,11.0,False,False,False,True,False,38.0,Under
Regular Season,2,NO,LAR,2.0,52.0,25.0,27.0,LAR,LAR,9.0,27.0,True,16.0,False,True,False,False,False,36.0,Under
Regular Season,2,CHI,DEN,3.0,40.5,21.75,18.75,CHI,CHI,16.0,14.0,False,1.0,False,False,False,True,False,30.0,Under
Regular Season,2,PHI,ATL,1.0,53.5,27.25,26.25,PHI,ATL,20.0,24.0,False,5.0,True,False,False,True,True,44.0,Under
Regular Season,2,CLE,NYJ,6.5,45.0,25.75,19.25,CLE,CLE,23.0,3.0,True,13.5,False,False,False,True,False,26.0,Under
Regular Season,3,TEN,JAC,2.0,38.0,20.0,18.0,TEN,JAC,7.0,20.0,False,15.0,True,False,False,True,True,27.0,Under
Regular Season,3,MIA,DAL,21.5,46.0,12.25,33.75,DAL,DAL,6.0,31.0,True,3.5,False,True,False,False,False,37.0,Under
Regular Season,3,DEN,GB,7.0,41.5,17.25,24.25,GB,GB,16.0,27.0,True,4.0,False,True,False,False,False,43.0,Over
Regular Season,3,NYJ,NE,21.0,43.0,11.0,32.0,NE,NE,14.0,30.0,False,5.0,False,True,False,False,False,44.0,Over
Regular Season,3,LV,MIN,9.0,43.5,17.25,26.25,MIN,MIN,14.0,34.0,True,11.0,False,True,False,False,False,48.0,Over
Regular Season,3,DET,PHI,4.0,44.5,20.25,24.25,PHI,DET,27.0,24.0,False,7.0,True,True,True,False,False,51.0,Over
Regular Season,3,CIN,BUF,6.0,43.5,18.75,24.75,BUF,BUF,17.0,21.0,False,2.0,False,True,False,False,False,38.0,Under
Regular Season,3,ATL,IND,1.0,48.0,23.5,24.5,IND,IND,24.0,27.0,True,2.0,False,True,False,False,False,51.0,Over
Regular Season,3,BAL,KC,4.5,52.0,23.75,28.25,KC,KC,28.0,33.0,True,0.5,False,True,False,False,False,61.0,Over
Regular Season,3,NYG,TB,5.0,48.0,21.5,26.5,TB,NYG,32.0,31.0,False,6.0,True,True,True,False,False,63.0,Over
Regular Season,3,CAR,ARI,2.5,45.5,21.5,24.0,ARI,CAR,38.0,20.0,False,20.5,True,True,True,False,False,58.0,Over
Regular Season,3,PIT,SF,6.0,44.5,19.25,25.25,SF,SF,20.0,24.0,False,2.0,False,True,False,False,False,44.0,Under
Regular Season,3,NO,SEA,5.0,44.0,19.5,24.5,SEA,NO,33.0,27.0,False,11.0,True,True,True,False,False,60.0,Over
Regular Season,3,HOU,LAC,3.0,49.0,23.0,26.0,LAC,HOU,27.0,20.0,False,10.0,True,True,True,False,False,47.0,Under
Regular Season,3,LAR,CLE,4.0,48.0,26.0,22.0,LAR,LAR,20.0,13.0,True,3.0,False,False,False,True,False,33.0,Under
Regular Season,3,CHI,WAS,5.5,41.0,23.25,17.75,CHI,CHI,31.0,15.0,True,10.5,False,False,False,True,False,46.0,Over
Regular Season,4,PHI,GB,3.5,46.0,21.25,24.75,GB,PHI,34.0,27.0,False,10.5,True,True,True,False,False,61.0,Over
Regular Season,4,NE,BUF,7.0,41.5,24.25,17.25,NE,NE,16.0,10.0,False,1.0,False,False,False,True,False,26.0,Under
Regular Season,4,TEN,ATL,3.5,46.5,21.5,25.0,ATL,TEN,24.0,10.0,False,17.5,True,True,True,False,False,34.0,Under
Regular Season,4,WAS,NYG,3.0,48.0,22.5,25.5,NYG,NYG,3.0,24.0,True,18.0,False,True,False,False,False,27.0,Under
Regular Season,4,LAC,MIA,15.0,43.5,29.25,14.25,LAC,LAC,30.0,10.0,True,5.0,False,False,False,True,False,40.0,Under
Regular Season,4,LV,IND,6.0,46.0,20.0,26.0,IND,LV,31.0,24.0,False,13.0,True,True,True,False,False,55.0,Over
Regular Season,4,CLE,BAL,7.0,47.5,20.25,27.25,BAL,CLE,40.0,25.0,False,22.0,True,True,True,False,False,65.0,Over
Regular Season,4,CAR,HOU,5.0,47.5,21.25,26.25,HOU,CAR,16.0,10.0,False,11.0,True,True,True,False,False,26.0,Under
Regular Season,4,KC,DET,7.0,54.5,30.75,23.75,KC,KC,34.0,30.0,False,3.0,False,False,False,True,False,64.0,Over
Regular Season,4,TB,LAR,9.0,48.5,19.75,28.75,LAR,TB,55.0,40.0,False,24.0,True,True,True,False,False,95.0,Over
Regular Season,4,SEA,ARI,5.5,49.0,27.25,21.75,SEA,SEA,27.0,10.0,True,11.5,False,False,False,True,False,37.0,Under
Regular Season,4,MIN,CHI,1.0,38.5,18.75,19.75,CHI,CHI,6.0,16.0,True,9.0,False,True,False,False,False,22.0,Under
Regular Season,4,JAC,DEN,2.5,37.0,17.25,19.75,DEN,JAC,26.0,24.0,False,4.5,True,True,True,False,False,50.0,Over
Regular Season,4,DAL,NO,2.5,47.0,24.75,22.25,DAL,NO,10.0,12.0,False,4.5,True,False,False,True,True,22.0,Under
Regular Season,4,CIN,PIT,3.5,45.0,20.75,24.25,PIT,PIT,3.0,27.0,True,20.5,False,True,False,False,False,30.0,Under
Regular Season,5,LAR,SEA,1.5,49.0,23.75,25.25,SEA,SEA,29.0,30.0,False,0.5,False,True,False,False,False,59.0,Over
Regular Season,5,NYJ,PHI,14.0,43.0,14.5,28.5,PHI,PHI,6.0,31.0,True,11.0,False,True,False,False,False,37.0,Under
Regular Season,5,NE,WAS,16.5,41.5,29.0,12.5,NE,NE,33.0,7.0,True,9.5,False,False,False,True,False,40.0,Under
Regular Season,5,ATL,HOU,4.0,49.0,22.5,26.5,HOU,HOU,32.0,53.0,True,17.0,False,True,False,False,False,85.0,Over
Regular Season,5,ARI,CIN,3.0,46.5,21.75,24.75,CIN,ARI,26.0,23.0,False,6.0,True,True,True,False,False,49.0,Over
Regular Season,5,BUF,TEN,3.0,39.5,18.25,21.25,TEN,BUF,14.0,7.0,False,10.0,True,True,True,False,False,21.0,Under
Regular Season,5,TB,NO,3.0,46.5,21.75,24.75,NO,NO,24.0,31.0,True,4.0,False,True,False,False,False,55.0,Over
Regular Season,5,MIN,NYG,5.5,43.5,24.5,19.0,MIN,MIN,28.0,10.0,True,12.5,False,False,False,True,False,38.0,Under
Regular Season,5,CHI,LV,6.5,39.5,23.0,16.5,CHI,LV,21.0,24.0,False,9.5,True,False,False,True,True,45.0,Over
Regular Season,5,BAL,PIT,4.0,51.5,27.75,23.75,BAL,BAL,26.0,23.0,False,1.0,False,False,False,True,False,49.0,Under
Regular Season,5,JAC,CAR,3.0,40.5,18.75,21.75,CAR,CAR,27.0,34.0,True,4.0,False,True,False,False,False,61.0,Over
Regular Season,5,DEN,LAC,4.5,46.0,20.75,25.25,LAC,DEN,20.0,13.0,False,11.5,True,True,True,False,False,33.0,Under
Regular Season,5,GB,DAL,3.0,46.5,21.75,24.75,DAL,GB,34.0,24.0,False,13.0,True,True,True,False,False,58.0,Over
Regular Season,5,IND,KC,10.5,55.5,22.5,33.0,KC,IND,19.0,13.0,False,16.5,True,True,True,False,False,32.0,Under
Regular Season,5,CLE,SF,4.5,48.0,21.75,26.25,SF,SF,3.0,31.0,True,23.5,False,True,False,False,False,34.0,Under
