Event Type,Week,Away Team,Home Team,Closing Spread,Total,Away Implied Score,Home Implied Score,Favorite,Actual winner,Away Score,Home Score,Favorite Covered,Post Game Spread,Underdog won,Road dog,Road dog won,Home dog,Home dog won,Actual Total,Over/Under
Regular Season,1,BUF,LA,2.0,52.0,27.0,25.0,BUF,BUF,31.0,10.0,True,19.0,False,False,False,True,False,41.0,Under
Regular Season,1,SF,CHI,6.5,38.0,22.25,15.75,SF,CHI,10.0,19.0,False,15.5,True,False,False,True,True,29.0,Under
Regular Season,1,PIT,CIN,7.0,44.5,18.75,25.75,CIN,PIT,23.0,20.0,False,10.0,True,True,True,False,False,43.0,Under
Regular Season,1,BAL,NYJ,6.5,44.0,25.25,18.75,BAL,BAL,24.0,9.0,True,8.5,False,False,False,True,False,33.0,Under
Regular Season,1,IND,HOU,7.0,45.5,26.25,19.25,IND,HOU,20.0,20.0,False,7.0,False,False,False,True,False,40.0,Under
Regular Season,1,CLE,CAR,1.5,42.0,20.25,21.75,CAR,CLE,26.0,24.0,False,3.5,True,True,True,False,False,50.0,Over
Regular Season,1,NO,ATL,5.5,43.5,24.5,19.0,NO,NO,27.0,26.0,False,4.5,False,False,False,True,False,53.0,Over
Regular Season,1,JAC,WAS,3.0,43.0,20.0,23.0,WAS,WAS,22.0,28.0,True,3.0,False,True,False,False,False,50.0,Over
Regular Season,1,PHI,DET,6.0,48.5,27.25,21.25,PHI,PHI,38.0,35.0,False,3.0,False,False,False,True,False,73.0,Over
Regular Season,1,NE,MIA,3.0,46.5,21.75,24.75,MIA,MIA,7.0,20.0,True,10.0,False,True,False,False,False,27.0,Under
Regular Season,1,KC,ARI,6.0,54.0,30.0,24.0,KC,KC,44.0,21.0,True,17.0,False,False,False,True,False,65.0,Over
Regular Season,1,NYG,TEN,5.5,44.0,19.25,24.75,TEN,NYG,21.0,20.0,False,6.5,True,True,True,False,False,41.0,Under
Regular Season,1,GB,MIN,2.0,46.5,22.25,24.25,MIN,MIN,7.0,23.0,True,14.0,False,True,False,False,False,30.0,Under
Regular Season,1,LV,LAC,3.5,52.5,24.5,28.0,LAC,LAC,19.0,24.0,True,1.5,False,True,False,False,False,43.0,Under
Regular Season,1,TB,DAL,2.5,49.5,26.0,23.5,TB,TB,19.0,3.0,True,13.5,False,False,False,True,False,22.0,Under
Regular Season,1,DEN,SEA,6.0,43.5,24.75,18.75,DEN,SEA,16.0,17.0,False,7.0,True,False,False,True,True,33.0,Under
Regular Season,2,LAC,KC,4.0,52.5,24.25,28.25,KC,KC,24.0,27.0,False,1.0,False,True,False,False,False,51.0,Under
Regular Season,2,TB,NO,2.5,43.0,22.75,20.25,TB,TB,20.0,10.0,True,7.5,False,False,False,True,False,30.0,Under
Regular Season,2,CAR,NYG,1.0,43.5,22.25,21.25,CAR,NYG,16.0,19.0,False,4.0,True,False,False,True,True,35.0,Under
Regular Season,2,NE,PIT,3.0,40.0,21.5,18.5,NE,NE,17.0,14.0,False,Push,False,False,False,True,False,31.0,Under
Regular Season,2,MIA,BAL,3.5,43.5,20.0,23.5,BAL,MIA,42.0,38.0,False,7.5,True,True,True,False,False,80.0,Over
Regular Season,2,NYJ,CLE,6.0,38.5,16.25,22.25,CLE,NYJ,31.0,30.0,False,7.0,True,True,True,False,False,61.0,Over
Regular Season,2,WAS,DET,1.0,48.0,23.5,24.5,DET,DET,27.0,36.0,True,8.0,False,True,False,False,False,63.0,Over
Regular Season,2,IND,JAC,3.0,43.5,23.25,20.25,IND,JAC,0.0,24.0,False,27.0,True,False,False,True,True,24.0,Under
Regular Season,2,ATL,LA,10.0,45.5,17.75,27.75,LA,LA,27.0,31.0,False,6.0,False,True,False,False,False,58.0,Over
Regular Season,2,SEA,SF,8.5,40.0,15.75,24.25,SF,SF,7.0,27.0,True,11.5,False,True,False,False,False,34.0,Under
Regular Season,2,CIN,DAL,7.0,42.0,24.5,17.5,CIN,DAL,17.0,20.0,False,10.0,True,False,False,True,True,37.0,Under
Regular Season,2,HOU,DEN,10.5,45.5,17.5,28.0,DEN,DEN,9.0,16.0,False,3.5,False,True,False,False,False,25.0,Under
Regular Season,2,ARI,LV,5.5,52.5,23.5,29.0,LV,ARI,29.0,23.0,False,11.5,True,True,True,False,False,52.0,Under
Regular Season,2,CHI,GB,10.5,42.5,16.0,26.5,GB,GB,10.0,27.0,True,6.5,False,True,False,False,False,37.0,Under
Regular Season,2,TEN,BUF,10.0,47.5,18.75,28.75,BUF,BUF,7.0,41.0,True,24.0,False,True,False,False,False,48.0,Over
Regular Season,2,MIN,PHI,2.5,49.0,23.25,25.75,PHI,PHI,7.0,24.0,True,14.5,False,True,False,False,False,31.0,Under
Regular Season,3,PIT,CLE,4.5,38.0,16.75,21.25,CLE,CLE,17.0,29.0,True,7.5,False,True,False,False,False,46.0,Over
Regular Season,3,PHI,WAS,6.0,47.0,26.5,20.5,PHI,PHI,24.0,8.0,True,10.0,False,False,False,True,False,32.0,Under
Regular Season,3,HOU,CHI,3.0,39.5,18.25,21.25,CHI,CHI,20.0,23.0,False,Push,False,True,False,False,False,43.0,Over
